sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,6
1,0.25,0.75625,-3984,6
2,0.25,0.5875,-2952,6
3,0.25,0.425,-2416,6
4,0.25,0.3725,-2280,6
5,0.25,0.29125,-2168,6
6,0.25,0.19875,-1936,6
7,0.25,0.165,-1776,6
8,0.25,0.22,-1880,6
9,0.25,0.15,-1712,6
10,0.25,0.085,-1832,6
11,0.25,0.06375,-1712,6
12,0.25,0.09375,-1848,6
13,0.25,0.055,-1640,6
14,0.25,0.03125,-1464,6
15,0.25,-0.0325,-1704,6
16,0.25,0.06875,-1712,6
17,0.25,-0.02375,-1816,6
18,0.25,-0.0325,-2024,6
19,0.25,0.0175,-1840,6
20,0.25,0.03375,-1792,6
