sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.65,1.0,-4.0,1.0,43,2.7370240928019045e-05,0.0011350981558596075
1,0.65,0.99125,-3.935,0.985,43,2.7370240928019045e-05,0.0011350981558596075
2,0.65,0.9825,-3.865,0.965,43,2.7370240928019045e-05,0.0011350981558596075
3,0.65,0.9825,-3.865,0.9675,43,2.7370240928019045e-05,0.0011350981558596075
4,0.65,0.98,-3.87,0.965,43,2.7370240928019045e-05,0.0011350981558596075
5,0.65,0.98375,-3.895,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
6,0.65,0.99125,-3.935,0.9825,43,2.7370240928019045e-05,0.0011350981558596075
7,0.65,0.985,-3.885,0.97,43,2.7370240928019045e-05,0.0011350981558596075
8,0.65,0.98625,-3.89,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
9,0.65,0.98625,-3.905,0.9775,43,2.7370240928019045e-05,0.0011350981558596075
10,0.65,0.98625,-3.895,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
11,0.65,0.99,-3.92,0.98,43,2.7370240928019045e-05,0.0011350981558596075
12,0.65,0.97,-3.8,0.9525,43,2.7370240928019045e-05,0.0011350981558596075
13,0.65,0.9775,-3.88,0.9675,43,2.7370240928019045e-05,0.0011350981558596075
14,0.65,0.9825,-3.885,0.9675,43,2.7370240928019045e-05,0.0011350981558596075
15,0.65,0.99125,-3.93,0.9825,43,2.7370240928019045e-05,0.0011350981558596075
16,0.65,0.98375,-3.89,0.97,43,2.7370240928019045e-05,0.0011350981558596075
17,0.65,0.9825,-3.87,0.97,43,2.7370240928019045e-05,0.0011350981558596075
18,0.65,0.98125,-3.875,0.97,43,2.7370240928019045e-05,0.0011350981558596075
19,0.65,0.97375,-3.85,0.9625,43,2.7370240928019045e-05,0.0011350981558596075
20,0.65,0.97875,-3.85,0.965,43,2.7370240928019045e-05,0.0011350981558596075
21,0.65,0.975,-3.82,0.9525,43,2.7370240928019045e-05,0.0011350981558596075
22,0.65,0.9775,-3.835,0.955,43,2.7370240928019045e-05,0.0011350981558596075
23,0.65,0.98375,-3.885,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
24,0.65,0.99,-3.925,0.98,43,2.7370240928019045e-05,0.0011350981558596075
25,0.65,0.98625,-3.89,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
26,0.65,0.97625,-3.835,0.9625,43,2.7370240928019045e-05,0.0011350981558596075
27,0.65,0.97875,-3.855,0.965,43,2.7370240928019045e-05,0.0011350981558596075
28,0.65,0.97875,-3.86,0.9675,43,2.7370240928019045e-05,0.0011350981558596075
29,0.65,0.98625,-3.91,0.975,43,2.7370240928019045e-05,0.0011350981558596075
30,0.65,0.98875,-3.92,0.98,43,2.7370240928019045e-05,0.0011350981558596075
31,0.65,0.99,-3.94,0.985,43,2.7370240928019045e-05,0.0011350981558596075
32,0.65,0.9875,-3.905,0.9775,43,2.7370240928019045e-05,0.0011350981558596075
33,0.65,0.985,-3.885,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
34,0.65,0.98875,-3.91,0.9775,43,2.7370240928019045e-05,0.0011350981558596075
35,0.65,0.9925,-3.94,0.985,43,2.7370240928019045e-05,0.0011350981558596075
36,0.65,0.9875,-3.92,0.9775,43,2.7370240928019045e-05,0.0011350981558596075
37,0.65,0.97875,-3.865,0.965,43,2.7370240928019045e-05,0.0011350981558596075
38,0.65,0.98125,-3.855,0.9625,43,2.7370240928019045e-05,0.0011350981558596075
39,0.65,0.9775,-3.85,0.9625,43,2.7370240928019045e-05,0.0011350981558596075
40,0.65,0.9825,-3.865,0.9675,43,2.7370240928019045e-05,0.0011350981558596075
41,0.65,0.985,-3.89,0.9725,43,2.7370240928019045e-05,0.0011350981558596075
42,0.65,0.98125,-3.865,0.9625,43,2.7370240928019045e-05,0.0011350981558596075
43,0.65,0.9825,-3.87,0.965,43,2.7370240928019045e-05,0.0011350981558596075
44,0.65,0.97875,-3.86,0.965,43,2.7370240928019045e-05,0.0011350981558596075
45,0.65,0.99,-3.94,0.985,43,2.7370240928019045e-05,0.0011350981558596075
46,0.65,0.98625,-3.91,0.9775,43,2.7370240928019045e-05,0.0011350981558596075
47,0.65,0.98375,-3.91,0.9775,43,2.7370240928019045e-05,0.0011350981558596075
48,0.65,0.985,-3.905,0.975,43,2.7370240928019045e-05,0.0011350981558596075
49,0.65,0.97875,-3.855,0.965,43,2.7370240928019045e-05,0.0011350981558596075
50,0.65,0.98875,-3.915,0.98,43,2.7370240928019045e-05,0.0011350981558596075
