sweeps,beta,magnetisation,energy,G,seed
0,0.38,1,-4,1,30
1,0.38,0.91375,-3.44,0.8625,30
2,0.38,0.88,-3.21,0.8025,30
3,0.38,0.8275,-3.055,0.765,30
4,0.38,0.8075,-2.955,0.73,30
5,0.38,0.80375,-2.99,0.7525,30
6,0.38,0.74125,-2.725,0.67,30
7,0.38,0.69,-2.51,0.62,30
8,0.38,0.62375,-2.355,0.6,30
9,0.38,0.59125,-2.3,0.5675,30
10,0.38,0.59125,-2.275,0.565,30
11,0.38,0.58125,-2.305,0.58,30
12,0.38,0.6125,-2.405,0.595,30
13,0.38,0.545,-2.255,0.56,30
14,0.38,0.53125,-2.235,0.5575,30
15,0.38,0.53,-2.39,0.585,30
16,0.38,0.515,-2.27,0.5525,30
17,0.38,0.52375,-2.315,0.5775,30
18,0.38,0.55125,-2.41,0.6125,30
19,0.38,0.4925,-2.31,0.5725,30
20,0.38,0.51,-2.335,0.585,30
21,0.38,0.465,-2.335,0.5725,30
22,0.38,0.4625,-2.29,0.5625,30
23,0.38,0.4825,-2.39,0.585,30
24,0.38,0.4725,-2.425,0.6075,30
25,0.38,0.44875,-2.215,0.555,30
26,0.38,0.47875,-2.17,0.5525,30
27,0.38,0.47375,-2.26,0.56,30
28,0.38,0.4925,-2.34,0.5925,30
29,0.38,0.515,-2.37,0.61,30
30,0.38,0.445,-2.295,0.5725,30
31,0.38,0.4475,-2.31,0.5575,30
32,0.38,0.46625,-2.3,0.55,30
33,0.38,0.4875,-2.3,0.56,30
34,0.38,0.43375,-2.285,0.5875,30
35,0.38,0.42875,-2.145,0.5275,30
36,0.38,0.44,-2.26,0.5675,30
37,0.38,0.44375,-2.235,0.57,30
38,0.38,0.3975,-2.255,0.5475,30
39,0.38,0.39375,-2.13,0.5125,30
40,0.38,0.38375,-2.155,0.5275,30
41,0.38,0.35125,-2,0.5,30
42,0.38,0.36375,-2.135,0.5325,30
43,0.38,0.3,-2.08,0.51,30
44,0.38,0.265,-1.975,0.4925,30
45,0.38,0.29125,-1.975,0.4925,30
46,0.38,0.2125,-2.055,0.5225,30
47,0.38,0.24,-2.06,0.5175,30
48,0.38,0.24,-2.17,0.545,30
49,0.38,0.2375,-2.09,0.52,30
50,0.38,0.26375,-1.98,0.52,30
