sweeps,magnetisation,seed
0,-1,94
1,-0.7575,94
2,-0.58625,94
3,-0.46,94
4,-0.35875,94
5,-0.25625,94
6,-0.19375,94
7,-0.1325,94
8,-0.14,94
9,-0.1125,94
10,-0.09375,94
