sweeps,beta,magnetisation,energy,G,seed
0,0,1,-4,1,5
1,0,0.13,0.09,-0.0375,5
2,0,0.0825,0.1,-0.0075,5
3,0,-0.005,-0.09,0.0175,5
4,0,-0.0175,-0.015,-0.01,5
5,0,0.015,-0.045,0.015,5
6,0,0.04,0.045,-0.0125,5
7,0,0.025,0.02,-0.005,5
8,0,0.025,0.015,-0.005,5
9,0,0.025,-0.005,0.015,5
10,0,0.005,0.045,0.005,5
11,0,0.08,-0.11,-0.0025,5
12,0,-0.03,-0.045,0.01,5
13,0,0.005,0.04,-0.0175,5
14,0,-0.0125,-0.105,0.0425,5
15,0,-0.0075,0.04,-0.015,5
16,0,-0.02,0.035,-0.02,5
17,0,-0.06,0.02,0.0025,5
18,0,-0.0425,-0.015,0.0225,5
19,0,-0.03,0.045,-0.06,5
20,0,-0.0325,0.015,0.0025,5
21,0,-0.07,-0.13,0.08,5
22,0,-0.01,0.035,-0.02,5
23,0,-0.0225,0.075,0,5
24,0,0.0175,-0.065,-0.0175,5
25,0,-0.015,0.03,0.0325,5
26,0,0.0325,-0.03,0.0175,5
27,0,0.03,-0.235,0.075,5
28,0,-0.055,0.09,-0.01,5
29,0,-0.0025,0.08,-0.0175,5
30,0,-0.0275,0.01,0.005,5
31,0,0.005,-0.01,0.005,5
32,0,0.03,0.055,-0.03,5
33,0,0,-0.095,0.0375,5
34,0,0.0075,0.005,-0.01,5
35,0,-0.0025,-0.05,0.0075,5
36,0,0.015,-0.105,0.0175,5
37,0,0.005,-0.05,0.04,5
38,0,0.0125,0.03,-0.015,5
39,0,0.045,0.035,0.03,5
40,0,-0.015,0.055,-0.01,5
41,0,0.0075,-0.055,0.04,5
42,0,-0.05,-0.01,-0.0075,5
43,0,-0.04,0.04,-0.0225,5
44,0,0.015,0.05,-0.0075,5
45,0,0.0175,0.11,-0.0425,5
46,0,-0.0125,-0.035,0.02,5
47,0,0,-0,-0.0575,5
48,0,-0.0025,0.06,-0.0275,5
49,0,-0.015,-0.075,0.02,5
50,0,-0.0075,0.05,-0.0125,5
