sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,12
1,0.25,0.77,-4160,12
2,0.25,0.6275,-3240,12
3,0.25,0.455,-2608,12
4,0.25,0.29625,-2384,12
5,0.25,0.25125,-2112,12
6,0.25,0.21125,-2136,12
7,0.25,0.20125,-2016,12
8,0.25,0.1225,-1928,12
9,0.25,0.08,-1680,12
10,0.25,0.085,-1896,12
11,0.25,0.085,-1752,12
12,0.25,0.11,-1760,12
13,0.25,0.09625,-1688,12
14,0.25,0.075,-1960,12
15,0.25,0.0625,-1920,12
16,0.25,0.00625,-1936,12
17,0.25,-0.035,-1704,12
18,0.25,-0.01875,-1784,12
19,0.25,-0.05125,-1664,12
20,0.25,-0.05625,-1712,12
