sweeps,beta,magnetisation,energy,G,seed
0,0.85,1,-4,1,10
1,0.85,1,-4,1,10
2,0.85,0.99875,-3.99,0.9975,10
3,0.85,0.9975,-3.98,0.995,10
4,0.85,0.9975,-3.98,0.995,10
5,0.85,0.99875,-3.99,0.9975,10
6,0.85,0.99625,-3.97,0.9925,10
7,0.85,0.9925,-3.945,0.985,10
8,0.85,0.9975,-3.98,0.995,10
9,0.85,0.99625,-3.97,0.9925,10
10,0.85,0.99625,-3.975,0.9925,10
11,0.85,0.99375,-3.96,0.99,10
12,0.85,0.99375,-3.96,0.99,10
13,0.85,0.9975,-3.98,0.995,10
14,0.85,0.99875,-3.99,0.9975,10
15,0.85,1,-4,1,10
16,0.85,0.99875,-3.99,0.9975,10
17,0.85,0.99875,-3.99,0.9975,10
18,0.85,0.995,-3.96,0.99,10
19,0.85,0.99625,-3.97,0.9925,10
20,0.85,0.99875,-3.99,0.9975,10
21,0.85,0.99875,-3.99,0.9975,10
22,0.85,0.995,-3.965,0.99,10
23,0.85,1,-4,1,10
24,0.85,0.9975,-3.98,0.995,10
25,0.85,0.99625,-3.975,0.995,10
26,0.85,0.995,-3.97,0.995,10
27,0.85,0.9975,-3.985,0.9975,10
28,0.85,0.99625,-3.97,0.9925,10
29,0.85,0.9975,-3.98,0.995,10
30,0.85,0.9975,-3.98,0.995,10
31,0.85,0.99875,-3.99,0.9975,10
32,0.85,0.99625,-3.97,0.9925,10
33,0.85,1,-4,1,10
34,0.85,0.99875,-3.99,0.9975,10
35,0.85,0.99625,-3.97,0.9925,10
36,0.85,0.99875,-3.99,0.9975,10
37,0.85,0.99875,-3.99,0.9975,10
38,0.85,0.99875,-3.99,0.9975,10
39,0.85,0.995,-3.96,0.99,10
40,0.85,0.99375,-3.95,0.9875,10
41,0.85,0.99625,-3.97,0.9925,10
42,0.85,0.995,-3.965,0.9925,10
43,0.85,0.9975,-3.98,0.995,10
44,0.85,0.99875,-3.99,0.9975,10
45,0.85,0.995,-3.96,0.99,10
46,0.85,0.99625,-3.97,0.9925,10
47,0.85,0.9975,-3.98,0.995,10
48,0.85,0.995,-3.96,0.99,10
49,0.85,1,-4,1,10
50,0.85,1,-4,1,10
