sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.45,1.0,-4.0,1.0,34,0.005721019854253421,0.011316597263533614
1,0.45,0.9625,-3.735,0.935,34,0.005721019854253421,0.011316597263533614
2,0.45,0.93875,-3.58,0.8925,34,0.005721019854253421,0.011316597263533614
3,0.45,0.89625,-3.34,0.8275,34,0.005721019854253421,0.011316597263533614
4,0.45,0.8725,-3.24,0.81,34,0.005721019854253421,0.011316597263533614
5,0.45,0.8475,-3.225,0.8075,34,0.005721019854253421,0.011316597263533614
6,0.45,0.85875,-3.27,0.825,34,0.005721019854253421,0.011316597263533614
7,0.45,0.84875,-3.215,0.8075,34,0.005721019854253421,0.011316597263533614
8,0.45,0.85625,-3.235,0.8125,34,0.005721019854253421,0.011316597263533614
9,0.45,0.87125,-3.305,0.8175,34,0.005721019854253421,0.011316597263533614
10,0.45,0.8625,-3.215,0.795,34,0.005721019854253421,0.011316597263533614
11,0.45,0.86875,-3.245,0.8175,34,0.005721019854253421,0.011316597263533614
12,0.45,0.8325,-3.095,0.7675,34,0.005721019854253421,0.011316597263533614
13,0.45,0.83875,-3.13,0.7875,34,0.005721019854253421,0.011316597263533614
14,0.45,0.8425,-3.165,0.7925,34,0.005721019854253421,0.011316597263533614
15,0.45,0.84125,-3.085,0.775,34,0.005721019854253421,0.011316597263533614
16,0.45,0.845,-3.165,0.795,34,0.005721019854253421,0.011316597263533614
17,0.45,0.8325,-3.085,0.7725,34,0.005721019854253421,0.011316597263533614
18,0.45,0.82625,-3.0,0.7475,34,0.005721019854253421,0.011316597263533614
19,0.45,0.82375,-2.995,0.74,34,0.005721019854253421,0.011316597263533614
20,0.45,0.82625,-3.13,0.7825,34,0.005721019854253421,0.011316597263533614
21,0.45,0.8075,-3.07,0.7675,34,0.005721019854253421,0.011316597263533614
22,0.45,0.80625,-2.975,0.7325,34,0.005721019854253421,0.011316597263533614
23,0.45,0.84375,-3.11,0.7875,34,0.005721019854253421,0.011316597263533614
24,0.45,0.8275,-3.13,0.7775,34,0.005721019854253421,0.011316597263533614
25,0.45,0.835,-3.11,0.7725,34,0.005721019854253421,0.011316597263533614
26,0.45,0.8325,-3.13,0.7875,34,0.005721019854253421,0.011316597263533614
27,0.45,0.8325,-3.125,0.7775,34,0.005721019854253421,0.011316597263533614
28,0.45,0.80875,-3.035,0.7525,34,0.005721019854253421,0.011316597263533614
29,0.45,0.8025,-3.115,0.7775,34,0.005721019854253421,0.011316597263533614
30,0.45,0.78875,-3.075,0.765,34,0.005721019854253421,0.011316597263533614
31,0.45,0.7925,-3.08,0.775,34,0.005721019854253421,0.011316597263533614
32,0.45,0.7625,-3.065,0.7725,34,0.005721019854253421,0.011316597263533614
33,0.45,0.77125,-3.145,0.78,34,0.005721019854253421,0.011316597263533614
34,0.45,0.74125,-3.085,0.7775,34,0.005721019854253421,0.011316597263533614
35,0.45,0.73625,-3.01,0.755,34,0.005721019854253421,0.011316597263533614
36,0.45,0.73375,-2.995,0.765,34,0.005721019854253421,0.011316597263533614
37,0.45,0.7325,-2.955,0.73,34,0.005721019854253421,0.011316597263533614
38,0.45,0.71125,-3.03,0.76,34,0.005721019854253421,0.011316597263533614
39,0.45,0.69,-3.095,0.7875,34,0.005721019854253421,0.011316597263533614
40,0.45,0.6625,-3.055,0.7575,34,0.005721019854253421,0.011316597263533614
41,0.45,0.66375,-2.98,0.7575,34,0.005721019854253421,0.011316597263533614
42,0.45,0.68,-3.095,0.78,34,0.005721019854253421,0.011316597263533614
43,0.45,0.6875,-3.095,0.775,34,0.005721019854253421,0.011316597263533614
44,0.45,0.665,-2.995,0.7575,34,0.005721019854253421,0.011316597263533614
45,0.45,0.6325,-2.82,0.7275,34,0.005721019854253421,0.011316597263533614
46,0.45,0.65,-2.9,0.73,34,0.005721019854253421,0.011316597263533614
47,0.45,0.6925,-2.86,0.7025,34,0.005721019854253421,0.011316597263533614
48,0.45,0.645,-2.75,0.6775,34,0.005721019854253421,0.011316597263533614
49,0.45,0.64125,-2.865,0.715,34,0.005721019854253421,0.011316597263533614
50,0.45,0.63625,-2.855,0.7225,34,0.005721019854253421,0.011316597263533614
