sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.25,1.0,-4.0,1.0,47,0.002420674077929803,0.007917816775728734
1,0.25,0.76625,-2.57,0.6525,47,0.002420674077929803,0.007917816775728734
2,0.25,0.615,-1.955,0.465,47,0.002420674077929803,0.007917816775728734
3,0.25,0.4775,-1.555,0.375,47,0.002420674077929803,0.007917816775728734
4,0.25,0.36375,-1.355,0.3575,47,0.002420674077929803,0.007917816775728734
5,0.25,0.2125,-1.285,0.3275,47,0.002420674077929803,0.007917816775728734
6,0.25,0.17375,-1.19,0.29,47,0.002420674077929803,0.007917816775728734
7,0.25,0.18375,-1.19,0.3075,47,0.002420674077929803,0.007917816775728734
8,0.25,0.15,-1.275,0.31,47,0.002420674077929803,0.007917816775728734
9,0.25,0.1425,-1.165,0.3075,47,0.002420674077929803,0.007917816775728734
10,0.25,0.15125,-1.15,0.29,47,0.002420674077929803,0.007917816775728734
11,0.25,0.08125,-0.985,0.2575,47,0.002420674077929803,0.007917816775728734
12,0.25,0.02875,-1.025,0.285,47,0.002420674077929803,0.007917816775728734
13,0.25,-0.02625,-1.085,0.285,47,0.002420674077929803,0.007917816775728734
14,0.25,-0.0475,-1.09,0.275,47,0.002420674077929803,0.007917816775728734
15,0.25,-0.05875,-1.195,0.3125,47,0.002420674077929803,0.007917816775728734
16,0.25,-0.03875,-1.26,0.32,47,0.002420674077929803,0.007917816775728734
17,0.25,-0.03625,-1.11,0.2875,47,0.002420674077929803,0.007917816775728734
18,0.25,0.02625,-1.095,0.2675,47,0.002420674077929803,0.007917816775728734
19,0.25,0.01875,-1.095,0.2775,47,0.002420674077929803,0.007917816775728734
20,0.25,0.0175,-0.9,0.2075,47,0.002420674077929803,0.007917816775728734
21,0.25,0.01625,-0.92,0.23,47,0.002420674077929803,0.007917816775728734
22,0.25,0.0275,-1.08,0.2575,47,0.002420674077929803,0.007917816775728734
23,0.25,0.02875,-1.16,0.2925,47,0.002420674077929803,0.007917816775728734
24,0.25,0.0075,-1.11,0.2525,47,0.002420674077929803,0.007917816775728734
25,0.25,0.0575,-1.02,0.2775,47,0.002420674077929803,0.007917816775728734
26,0.25,0.03625,-1.035,0.235,47,0.002420674077929803,0.007917816775728734
27,0.25,0.06625,-1.12,0.2825,47,0.002420674077929803,0.007917816775728734
28,0.25,0.065,-1.105,0.2875,47,0.002420674077929803,0.007917816775728734
29,0.25,0.0025,-1.215,0.29,47,0.002420674077929803,0.007917816775728734
30,0.25,0.03875,-1.195,0.295,47,0.002420674077929803,0.007917816775728734
31,0.25,0.09125,-1.2,0.305,47,0.002420674077929803,0.007917816775728734
32,0.25,0.085,-1.14,0.2825,47,0.002420674077929803,0.007917816775728734
33,0.25,0.0525,-1.065,0.2475,47,0.002420674077929803,0.007917816775728734
34,0.25,-0.005,-1.075,0.2575,47,0.002420674077929803,0.007917816775728734
35,0.25,0.0,-1.18,0.3125,47,0.002420674077929803,0.007917816775728734
36,0.25,-0.02875,-1.12,0.285,47,0.002420674077929803,0.007917816775728734
37,0.25,-0.0825,-1.13,0.2925,47,0.002420674077929803,0.007917816775728734
38,0.25,-0.03125,-1.08,0.2475,47,0.002420674077929803,0.007917816775728734
39,0.25,-0.045,-1.135,0.305,47,0.002420674077929803,0.007917816775728734
40,0.25,0.04,-0.98,0.2225,47,0.002420674077929803,0.007917816775728734
41,0.25,0.03,-1.15,0.275,47,0.002420674077929803,0.007917816775728734
42,0.25,0.01625,-0.945,0.2175,47,0.002420674077929803,0.007917816775728734
43,0.25,-0.04,-1.125,0.275,47,0.002420674077929803,0.007917816775728734
44,0.25,-0.03875,-1.065,0.265,47,0.002420674077929803,0.007917816775728734
45,0.25,-0.0625,-0.955,0.25,47,0.002420674077929803,0.007917816775728734
46,0.25,-0.02875,-0.99,0.26,47,0.002420674077929803,0.007917816775728734
47,0.25,-0.01875,-1.025,0.235,47,0.002420674077929803,0.007917816775728734
48,0.25,-0.02,-1.15,0.29,47,0.002420674077929803,0.007917816775728734
49,0.25,-0.0425,-1.305,0.285,47,0.002420674077929803,0.007917816775728734
50,0.25,-0.04125,-1.2,0.3075,47,0.002420674077929803,0.007917816775728734
