sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,11
1,0.25,0.75875,-4048,11
2,0.25,0.585,-3104,11
3,0.25,0.435,-2336,11
4,0.25,0.28375,-1976,11
5,0.25,0.2375,-1856,11
6,0.25,0.0675,-1816,11
7,0.25,0.1175,-1728,11
8,0.25,0.0825,-1624,11
9,0.25,0.085,-1712,11
10,0.25,0.17,-1888,11
11,0.25,0.1275,-1728,11
12,0.25,0.12,-1728,11
13,0.25,0.11375,-1704,11
14,0.25,0.095,-1736,11
15,0.25,0.09,-1624,11
16,0.25,0.08375,-1688,11
17,0.25,0.07625,-1776,11
18,0.25,0.06,-1472,11
19,0.25,0.015,-1464,11
20,0.25,0.00875,-1608,11
