sweeps,magnetisation,seed
0,-0.005,16
1,-0.0125,16
2,0.01875,16
3,0.02125,16
4,0.04375,16
5,0.05125,16
6,-0.0175,16
7,0.00125,16
8,0.005,16
9,0.00375,16
10,-0.02,16
