sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.75,1.0,-4.0,1.0,1,1.3396044021415867e-05,0.0007282867340868559
1,0.75,0.99375,-3.955,0.9875,1,1.3396044021415867e-05,0.0007282867340868559
2,0.75,0.995,-3.965,0.99,1,1.3396044021415867e-05,0.0007282867340868559
3,0.75,0.9925,-3.95,0.99,1,1.3396044021415867e-05,0.0007282867340868559
4,0.75,0.9925,-3.945,0.9875,1,1.3396044021415867e-05,0.0007282867340868559
5,0.75,0.99625,-3.97,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
6,0.75,0.99625,-3.97,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
7,0.75,0.995,-3.96,0.99,1,1.3396044021415867e-05,0.0007282867340868559
8,0.75,0.9925,-3.95,0.9875,1,1.3396044021415867e-05,0.0007282867340868559
9,0.75,0.9875,-3.905,0.975,1,1.3396044021415867e-05,0.0007282867340868559
10,0.75,0.99375,-3.95,0.9875,1,1.3396044021415867e-05,0.0007282867340868559
11,0.75,0.99625,-3.97,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
12,0.75,0.99875,-3.99,0.9975,1,1.3396044021415867e-05,0.0007282867340868559
13,0.75,1.0,-4.0,1.0,1,1.3396044021415867e-05,0.0007282867340868559
14,0.75,0.99875,-3.99,0.9975,1,1.3396044021415867e-05,0.0007282867340868559
15,0.75,0.99875,-3.99,0.9975,1,1.3396044021415867e-05,0.0007282867340868559
16,0.75,0.99875,-3.99,0.9975,1,1.3396044021415867e-05,0.0007282867340868559
17,0.75,0.995,-3.96,0.99,1,1.3396044021415867e-05,0.0007282867340868559
18,0.75,0.99,-3.935,0.9825,1,1.3396044021415867e-05,0.0007282867340868559
19,0.75,0.99625,-3.975,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
20,0.75,0.99625,-3.97,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
21,0.75,0.995,-3.965,0.99,1,1.3396044021415867e-05,0.0007282867340868559
22,0.75,0.99125,-3.93,0.9825,1,1.3396044021415867e-05,0.0007282867340868559
23,0.75,0.9875,-3.91,0.9775,1,1.3396044021415867e-05,0.0007282867340868559
24,0.75,0.99125,-3.935,0.9825,1,1.3396044021415867e-05,0.0007282867340868559
25,0.75,0.995,-3.96,0.99,1,1.3396044021415867e-05,0.0007282867340868559
26,0.75,0.9975,-3.98,0.995,1,1.3396044021415867e-05,0.0007282867340868559
27,0.75,0.99875,-3.99,0.9975,1,1.3396044021415867e-05,0.0007282867340868559
28,0.75,0.995,-3.965,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
29,0.75,0.9925,-3.94,0.985,1,1.3396044021415867e-05,0.0007282867340868559
30,0.75,0.99125,-3.93,0.9825,1,1.3396044021415867e-05,0.0007282867340868559
31,0.75,0.99,-3.92,0.98,1,1.3396044021415867e-05,0.0007282867340868559
32,0.75,0.99,-3.92,0.98,1,1.3396044021415867e-05,0.0007282867340868559
33,0.75,0.99,-3.925,0.98,1,1.3396044021415867e-05,0.0007282867340868559
34,0.75,0.99125,-3.95,0.9875,1,1.3396044021415867e-05,0.0007282867340868559
35,0.75,0.99125,-3.935,0.985,1,1.3396044021415867e-05,0.0007282867340868559
36,0.75,0.995,-3.96,0.99,1,1.3396044021415867e-05,0.0007282867340868559
37,0.75,0.99125,-3.935,0.985,1,1.3396044021415867e-05,0.0007282867340868559
38,0.75,0.99625,-3.97,0.9925,1,1.3396044021415867e-05,0.0007282867340868559
39,0.75,0.9975,-3.98,0.995,1,1.3396044021415867e-05,0.0007282867340868559
40,0.75,0.99,-3.925,0.98,1,1.3396044021415867e-05,0.0007282867340868559
41,0.75,0.9875,-3.915,0.9825,1,1.3396044021415867e-05,0.0007282867340868559
42,0.75,0.9875,-3.9,0.975,1,1.3396044021415867e-05,0.0007282867340868559
43,0.75,0.995,-3.96,0.99,1,1.3396044021415867e-05,0.0007282867340868559
44,0.75,0.99,-3.92,0.98,1,1.3396044021415867e-05,0.0007282867340868559
45,0.75,0.98625,-3.9,0.9725,1,1.3396044021415867e-05,0.0007282867340868559
46,0.75,0.98875,-3.92,0.9775,1,1.3396044021415867e-05,0.0007282867340868559
47,0.75,0.99375,-3.95,0.9875,1,1.3396044021415867e-05,0.0007282867340868559
48,0.75,0.99125,-3.935,0.9825,1,1.3396044021415867e-05,0.0007282867340868559
49,0.75,0.9925,-3.94,0.985,1,1.3396044021415867e-05,0.0007282867340868559
50,0.75,0.9925,-3.94,0.985,1,1.3396044021415867e-05,0.0007282867340868559
