sweeps,beta,magnetisation,energy,G,seed
0,0.4545,1,-4,1,23
1,0.4545,0.95375,-3.705,0.925,23
2,0.4545,0.94,-3.605,0.905,23
3,0.4545,0.89375,-3.39,0.8425,23
4,0.4545,0.89875,-3.405,0.855,23
5,0.4545,0.88375,-3.28,0.8175,23
6,0.4545,0.87375,-3.225,0.8075,23
7,0.4545,0.865,-3.265,0.81,23
8,0.4545,0.8725,-3.33,0.835,23
9,0.4545,0.845,-3.285,0.82,23
10,0.4545,0.8525,-3.29,0.8275,23
11,0.4545,0.8425,-3.24,0.8175,23
12,0.4545,0.84375,-3.205,0.8025,23
13,0.4545,0.8475,-3.24,0.81,23
14,0.4545,0.8775,-3.36,0.8325,23
15,0.4545,0.88375,-3.405,0.845,23
16,0.4545,0.90625,-3.475,0.86,23
17,0.4545,0.88,-3.375,0.8425,23
18,0.4545,0.8575,-3.27,0.815,23
19,0.4545,0.86,-3.175,0.7975,23
20,0.4545,0.83625,-3.115,0.7875,23
21,0.4545,0.85375,-3.22,0.8,23
22,0.4545,0.86875,-3.315,0.8375,23
23,0.4545,0.8575,-3.25,0.8075,23
24,0.4545,0.85,-3.205,0.7975,23
25,0.4545,0.85,-3.235,0.8075,23
26,0.4545,0.82125,-3.11,0.78,23
27,0.4545,0.845,-3.14,0.79,23
28,0.4545,0.8625,-3.165,0.7925,23
29,0.4545,0.87625,-3.3,0.8175,23
30,0.4545,0.875,-3.28,0.8025,23
31,0.4545,0.87875,-3.235,0.795,23
32,0.4545,0.845,-3.14,0.775,23
33,0.4545,0.855,-3.185,0.7925,23
34,0.4545,0.845,-3.14,0.7875,23
35,0.4545,0.825,-3.1,0.77,23
36,0.4545,0.855,-3.225,0.8025,23
37,0.4545,0.8675,-3.26,0.8075,23
38,0.4545,0.8375,-3.125,0.7825,23
39,0.4545,0.82875,-3.095,0.7775,23
40,0.4545,0.79875,-3.055,0.77,23
41,0.4545,0.78125,-3.03,0.7525,23
42,0.4545,0.8075,-3.115,0.785,23
43,0.4545,0.81,-3.155,0.7925,23
44,0.4545,0.8,-3.145,0.7675,23
45,0.4545,0.805,-3.145,0.775,23
46,0.4545,0.7725,-2.87,0.72,23
47,0.4545,0.78625,-2.96,0.7225,23
48,0.4545,0.76875,-2.97,0.75,23
49,0.4545,0.7875,-3.07,0.7575,23
50,0.4545,0.74625,-3.02,0.755,23
