sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,13
1,0.25,0.8,-4488,13
2,0.25,0.6525,-3472,13
3,0.25,0.46875,-2608,13
4,0.25,0.39,-2288,13
5,0.25,0.29625,-2088,13
6,0.25,0.2225,-1928,13
7,0.25,0.165,-1840,13
8,0.25,0.15,-2000,13
9,0.25,0.09125,-1992,13
10,0.25,0.05875,-1712,13
11,0.25,0.0825,-1624,13
12,0.25,0.1125,-1848,13
13,0.25,0.1225,-1784,13
14,0.25,0.09,-1776,13
15,0.25,0.14125,-1856,13
16,0.25,0.06,-1696,13
17,0.25,0.05875,-1728,13
18,0.25,0.11125,-1584,13
19,0.25,0.13625,-2040,13
20,0.25,0.12125,-1824,13
