sweeps,beta,magnetisation,energy,G,seed
0,0.425,1,-4,1,1
1,0.425,0.94625,-3.62,0.9025,1
2,0.425,0.89125,-3.325,0.825,1
3,0.425,0.86375,-3.18,0.795,1
4,0.425,0.855,-3.15,0.795,1
5,0.425,0.8175,-3.035,0.7525,1
6,0.425,0.82875,-3.075,0.785,1
7,0.425,0.7875,-3.05,0.76,1
8,0.425,0.7725,-2.885,0.71,1
9,0.425,0.79125,-2.94,0.7325,1
10,0.425,0.78,-3.05,0.755,1
11,0.425,0.755,-2.965,0.7425,1
12,0.425,0.76,-2.905,0.7325,1
13,0.425,0.785,-2.95,0.7325,1
14,0.425,0.7825,-2.945,0.735,1
15,0.425,0.7725,-2.865,0.7225,1
16,0.425,0.73875,-2.805,0.6825,1
17,0.425,0.72,-2.71,0.6725,1
18,0.425,0.69625,-2.72,0.6775,1
19,0.425,0.70125,-2.795,0.71,1
20,0.425,0.69875,-2.77,0.71,1
21,0.425,0.72625,-2.95,0.735,1
22,0.425,0.7125,-2.85,0.715,1
23,0.425,0.71375,-2.835,0.71,1
24,0.425,0.73,-2.76,0.6875,1
25,0.425,0.72625,-2.73,0.6775,1
26,0.425,0.6925,-2.655,0.675,1
27,0.425,0.685,-2.57,0.645,1
28,0.425,0.695,-2.635,0.645,1
29,0.425,0.725,-2.82,0.71,1
30,0.425,0.7425,-2.88,0.7225,1
31,0.425,0.74875,-2.925,0.735,1
32,0.425,0.7475,-2.955,0.7275,1
33,0.425,0.74875,-2.915,0.725,1
34,0.425,0.72875,-2.87,0.7275,1
35,0.425,0.72625,-2.86,0.7075,1
36,0.425,0.70375,-2.805,0.6925,1
37,0.425,0.725,-2.95,0.7375,1
38,0.425,0.6925,-2.785,0.71,1
39,0.425,0.6675,-2.79,0.7025,1
40,0.425,0.6775,-2.755,0.6875,1
41,0.425,0.685,-2.82,0.69,1
42,0.425,0.66,-2.775,0.705,1
43,0.425,0.64125,-2.64,0.6725,1
44,0.425,0.62,-2.635,0.6675,1
45,0.425,0.61625,-2.64,0.6625,1
46,0.425,0.55875,-2.485,0.6275,1
47,0.425,0.5275,-2.47,0.6225,1
48,0.425,0.49,-2.415,0.605,1
49,0.425,0.48,-2.475,0.615,1
50,0.425,0.48375,-2.525,0.645,1
