sweeps,beta,magnetisation,energy,G,seed
0,0.5,1,-4,1,17
1,0.5,0.9675,-3.765,0.94,17
2,0.5,0.95125,-3.665,0.9225,17
3,0.5,0.94875,-3.655,0.9175,17
4,0.5,0.94375,-3.65,0.905,17
5,0.5,0.95125,-3.665,0.9125,17
6,0.5,0.94625,-3.675,0.925,17
7,0.5,0.9275,-3.6,0.9,17
8,0.5,0.91625,-3.485,0.87,17
9,0.5,0.91875,-3.46,0.865,17
10,0.5,0.9175,-3.51,0.8725,17
11,0.5,0.9225,-3.525,0.885,17
12,0.5,0.9325,-3.575,0.895,17
13,0.5,0.92375,-3.525,0.8875,17
14,0.5,0.90125,-3.415,0.855,17
15,0.5,0.8975,-3.395,0.8525,17
16,0.5,0.905,-3.49,0.8775,17
17,0.5,0.8975,-3.38,0.85,17
18,0.5,0.89,-3.33,0.8375,17
19,0.5,0.88875,-3.36,0.8475,17
20,0.5,0.92375,-3.5,0.8775,17
21,0.5,0.93375,-3.545,0.885,17
22,0.5,0.935,-3.59,0.8925,17
23,0.5,0.935,-3.545,0.89,17
24,0.5,0.93875,-3.625,0.9075,17
25,0.5,0.93375,-3.575,0.9,17
26,0.5,0.92125,-3.535,0.8875,17
27,0.5,0.91875,-3.555,0.8925,17
28,0.5,0.92,-3.555,0.89,17
29,0.5,0.925,-3.59,0.8975,17
30,0.5,0.92,-3.55,0.88,17
31,0.5,0.9075,-3.45,0.8575,17
32,0.5,0.90375,-3.45,0.85,17
33,0.5,0.90875,-3.435,0.855,17
34,0.5,0.90625,-3.505,0.8775,17
35,0.5,0.8975,-3.44,0.8625,17
36,0.5,0.915,-3.48,0.8775,17
37,0.5,0.9175,-3.515,0.875,17
38,0.5,0.91125,-3.525,0.8775,17
39,0.5,0.9075,-3.475,0.87,17
40,0.5,0.92875,-3.55,0.89,17
41,0.5,0.8975,-3.465,0.88,17
42,0.5,0.91125,-3.485,0.875,17
43,0.5,0.90125,-3.44,0.8625,17
44,0.5,0.8825,-3.425,0.8575,17
45,0.5,0.8875,-3.335,0.84,17
46,0.5,0.90125,-3.435,0.855,17
47,0.5,0.91375,-3.475,0.865,17
48,0.5,0.9175,-3.485,0.8675,17
49,0.5,0.93625,-3.605,0.9025,17
50,0.5,0.93125,-3.55,0.885,17
