sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,4
1,0.25,0.7525,-4080,4
2,0.25,0.63375,-3304,4
3,0.25,0.4875,-2560,4
4,0.25,0.3975,-2248,4
5,0.25,0.33375,-2248,4
6,0.25,0.21,-1976,4
7,0.25,0.155,-1760,4
8,0.25,0.1025,-1696,4
9,0.25,0.105,-1736,4
10,0.25,0.08375,-1792,4
11,0.25,0.105,-1840,4
12,0.25,0.0825,-1712,4
13,0.25,0.10125,-1776,4
14,0.25,0.05875,-1544,4
15,0.25,0.015,-1616,4
16,0.25,0.0025,-1560,4
17,0.25,0.0225,-1528,4
18,0.25,0.03125,-1848,4
19,0.25,0.055,-1944,4
20,0.25,0.02375,-1960,4
