sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
1,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
2,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
3,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
4,0.9,0.9975,-3.985,0.9975,11,2.810826888756701e-06,0.00015877453896490185
5,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
6,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
7,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
8,0.9,0.99625,-3.97,0.9925,11,2.810826888756701e-06,0.00015877453896490185
9,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
10,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
11,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
12,0.9,0.99625,-3.97,0.9925,11,2.810826888756701e-06,0.00015877453896490185
13,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
14,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
15,0.9,0.99625,-3.97,0.9925,11,2.810826888756701e-06,0.00015877453896490185
16,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
17,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
18,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
19,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
20,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
21,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
22,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
23,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
24,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
25,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
26,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
27,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
28,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
29,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
30,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
31,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
32,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
33,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
34,0.9,0.995,-3.96,0.99,11,2.810826888756701e-06,0.00015877453896490185
35,0.9,0.99625,-3.97,0.9925,11,2.810826888756701e-06,0.00015877453896490185
36,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
37,0.9,0.995,-3.965,0.9925,11,2.810826888756701e-06,0.00015877453896490185
38,0.9,0.995,-3.965,0.99,11,2.810826888756701e-06,0.00015877453896490185
39,0.9,0.99375,-3.955,0.9875,11,2.810826888756701e-06,0.00015877453896490185
40,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
41,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
42,0.9,1.0,-4.0,1.0,11,2.810826888756701e-06,0.00015877453896490185
43,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
44,0.9,0.99875,-3.99,0.9975,11,2.810826888756701e-06,0.00015877453896490185
45,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
46,0.9,0.99625,-3.97,0.9925,11,2.810826888756701e-06,0.00015877453896490185
47,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
48,0.9,0.99625,-3.97,0.9925,11,2.810826888756701e-06,0.00015877453896490185
49,0.9,0.99625,-3.975,0.995,11,2.810826888756701e-06,0.00015877453896490185
50,0.9,0.9975,-3.98,0.995,11,2.810826888756701e-06,0.00015877453896490185
