sweeps,magnetisation,seed
0,-0.02125,20
1,0.00125,20
2,0,20
3,-0.02125,20
4,-0.07,20
5,-0.0975,20
6,-0.06625,20
7,-0.04875,20
8,-0.04375,20
9,-0.04375,20
10,-0.05625,20
