sweeps,magnetisation,seed
0,-1,88
1,-0.71625,88
2,-0.55375,88
3,-0.35125,88
4,-0.22375,88
5,-0.145,88
6,-0.1225,88
7,-0.13875,88
8,-0.10125,88
9,-0.1025,88
10,-0.07,88
