sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,5
1,0.25,0.78125,-4160,5
2,0.25,0.59,-3064,5
3,0.25,0.45,-2424,5
4,0.25,0.3275,-2264,5
5,0.25,0.25125,-1904,5
6,0.25,0.2225,-1560,5
7,0.25,0.14125,-1672,5
8,0.25,0.07125,-1616,5
9,0.25,0.02375,-1688,5
10,0.25,0.03125,-1960,5
11,0.25,0.0125,-1824,5
12,0.25,0.04375,-1744,5
13,0.25,0.0575,-1984,5
14,0.25,0.09,-1928,5
15,0.25,0.0825,-1968,5
16,0.25,0.1075,-1616,5
17,0.25,0.09,-1824,5
18,0.25,0.01875,-1544,5
19,0.25,0.02875,-1672,5
20,0.25,0.0175,-1712,5
