sweeps,magnetisation,seed
0,-1,17
1,-0.72375,17
2,-0.545,17
3,-0.455,17
4,-0.375,17
5,-0.2675,17
6,-0.23,17
7,-0.18875,17
8,-0.15875,17
9,-0.1425,17
10,-0.16625,17
