sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,2
1,0.25,0.74625,-3960,2
2,0.25,0.61125,-3264,2
3,0.25,0.495,-2552,2
4,0.25,0.40875,-2328,2
5,0.25,0.29125,-2040,2
6,0.25,0.2175,-1928,2
7,0.25,0.14625,-1704,2
8,0.25,0.08125,-1760,2
9,0.25,0.0525,-1640,2
10,0.25,0.055,-1568,2
11,0.25,0.005,-1480,2
12,0.25,0.03,-1608,2
13,0.25,-0.03875,-1736,2
14,0.25,-0.025,-1808,2
15,0.25,-0.0525,-1832,2
16,0.25,-0.0375,-1784,2
17,0.25,-0.0325,-2008,2
18,0.25,-0.0025,-1872,2
19,0.25,-0.09125,-2008,2
20,0.25,-0.08,-1952,2
21,0.25,-0.10625,-2040,2
22,0.25,-0.07125,-1880,2
23,0.25,-0.07875,-1824,2
24,0.25,-0.03125,-2096,2
25,0.25,-0.02,-2080,2
26,0.25,-0.0225,-2080,2
27,0.25,-0.05375,-2056,2
28,0.25,-0.02,-1976,2
29,0.25,0.00375,-1800,2
30,0.25,0.04125,-1784,2
31,0.25,0.01625,-1728,2
32,0.25,0.02,-1768,2
33,0.25,0.0125,-1848,2
34,0.25,-0.01,-1864,2
35,0.25,-0.01,-1864,2
36,0.25,-0.005,-1736,2
37,0.25,0.02625,-1624,2
38,0.25,0.00375,-1800,2
39,0.25,-0.01125,-1872,2
40,0.25,-0.04125,-1640,2
41,0.25,0.0025,-1608,2
42,0.25,0.00875,-1816,2
43,0.25,0.055,-2016,2
44,0.25,0.00375,-1888,2
45,0.25,-0.055,-1672,2
46,0.25,-0.01875,-1960,2
47,0.25,-0.0375,-1784,2
48,0.25,0.01375,-1832,2
49,0.25,0.06625,-1720,2
50,0.25,0.07875,-1664,2
51,0.25,0.06625,-2056,2
52,0.25,0.0625,-1848,2
53,0.25,0.065,-1880,2
54,0.25,0.05875,-1832,2
55,0.25,0.00875,-1752,2
56,0.25,0.02375,-1752,2
57,0.25,0.0125,-1672,2
58,0.25,-0.0525,-1712,2
59,0.25,0.02625,-1824,2
60,0.25,0.0425,-1744,2
61,0.25,0.00875,-1912,2
62,0.25,-0.03125,-1872,2
63,0.25,-0.0125,-1912,2
64,0.25,-0.04625,-1952,2
65,0.25,0.01125,-1944,2
66,0.25,0.01875,-1992,2
67,0.25,0.01125,-2040,2
68,0.25,-0.0025,-1984,2
69,0.25,0.0025,-2176,2
70,0.25,0.0425,-1824,2
71,0.25,0.03375,-1984,2
72,0.25,0.025,-1824,2
73,0.25,0.0425,-1728,2
74,0.25,0.0125,-1632,2
75,0.25,-0.01,-1984,2
76,0.25,0.0275,-1864,2
77,0.25,0.02875,-1880,2
78,0.25,-0.00125,-1832,2
79,0.25,-0.08625,-1640,2
80,0.25,-0.06,-1576,2
81,0.25,-0.055,-1792,2
82,0.25,-0.035,-1600,2
83,0.25,0.0025,-1672,2
84,0.25,-0.01375,-1784,2
85,0.25,-0.00625,-1968,2
86,0.25,0.00125,-1624,2
87,0.25,0.00625,-1760,2
88,0.25,-0.04125,-1736,2
89,0.25,0.01875,-1704,2
90,0.25,0.04875,-1808,2
91,0.25,0.06875,-1888,2
92,0.25,0.03375,-1680,2
93,0.25,0.06875,-1736,2
94,0.25,0.05125,-1816,2
95,0.25,0.065,-1888,2
96,0.25,0.115,-1768,2
97,0.25,0.0625,-1776,2
98,0.25,0.0075,-1656,2
99,0.25,0.10375,-1808,2
100,0.25,0.09,-1592,2
