sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,0
1,0.25,0.7675,-4080,0
2,0.25,0.60375,-2992,0
3,0.25,0.44875,-2544,0
4,0.25,0.35625,-2256,0
5,0.25,0.24875,-2120,0
6,0.25,0.1975,-1848,0
7,0.25,0.17875,-1760,0
8,0.25,0.1325,-1976,0
9,0.25,0.14,-1816,0
10,0.25,0.14375,-2024,0
11,0.25,0.15125,-2072,0
12,0.25,0.14375,-2056,0
13,0.25,0.11625,-1992,0
14,0.25,0.10125,-1856,0
15,0.25,0.0925,-1944,0
16,0.25,0.06875,-1872,0
17,0.25,0.055,-1840,0
18,0.25,0.04625,-1720,0
19,0.25,0.10125,-1736,0
20,0.25,0.09875,-1752,0
