sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.75,1.0,-4.0,1.0,3,1.1360425342058288e-05,0.0005756692444973266
1,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
2,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
3,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
4,0.75,0.9925,-3.94,0.985,3,1.1360425342058288e-05,0.0005756692444973266
5,0.75,0.98625,-3.9,0.975,3,1.1360425342058288e-05,0.0005756692444973266
6,0.75,0.985,-3.89,0.9725,3,1.1360425342058288e-05,0.0005756692444973266
7,0.75,0.99125,-3.93,0.9825,3,1.1360425342058288e-05,0.0005756692444973266
8,0.75,0.9975,-3.98,0.995,3,1.1360425342058288e-05,0.0005756692444973266
9,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
10,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
11,0.75,1.0,-4.0,1.0,3,1.1360425342058288e-05,0.0005756692444973266
12,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
13,0.75,0.9975,-3.98,0.995,3,1.1360425342058288e-05,0.0005756692444973266
14,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
15,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
16,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
17,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
18,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
19,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
20,0.75,0.995,-3.965,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
21,0.75,0.98875,-3.925,0.9825,3,1.1360425342058288e-05,0.0005756692444973266
22,0.75,0.99375,-3.95,0.9875,3,1.1360425342058288e-05,0.0005756692444973266
23,0.75,0.9925,-3.945,0.985,3,1.1360425342058288e-05,0.0005756692444973266
24,0.75,0.99125,-3.935,0.985,3,1.1360425342058288e-05,0.0005756692444973266
25,0.75,0.99125,-3.935,0.985,3,1.1360425342058288e-05,0.0005756692444973266
26,0.75,0.9875,-3.905,0.975,3,1.1360425342058288e-05,0.0005756692444973266
27,0.75,0.98875,-3.925,0.9775,3,1.1360425342058288e-05,0.0005756692444973266
28,0.75,0.99375,-3.95,0.9875,3,1.1360425342058288e-05,0.0005756692444973266
29,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
30,0.75,0.99375,-3.95,0.9875,3,1.1360425342058288e-05,0.0005756692444973266
31,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
32,0.75,0.99,-3.92,0.98,3,1.1360425342058288e-05,0.0005756692444973266
33,0.75,0.9925,-3.945,0.985,3,1.1360425342058288e-05,0.0005756692444973266
34,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
35,0.75,0.995,-3.96,0.99,3,1.1360425342058288e-05,0.0005756692444973266
36,0.75,0.98875,-3.91,0.9775,3,1.1360425342058288e-05,0.0005756692444973266
37,0.75,0.9925,-3.94,0.985,3,1.1360425342058288e-05,0.0005756692444973266
38,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
39,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
40,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
41,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
42,0.75,0.9925,-3.945,0.985,3,1.1360425342058288e-05,0.0005756692444973266
43,0.75,0.99625,-3.97,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
44,0.75,0.9975,-3.98,0.995,3,1.1360425342058288e-05,0.0005756692444973266
45,0.75,0.99625,-3.975,0.9925,3,1.1360425342058288e-05,0.0005756692444973266
46,0.75,0.99875,-3.99,0.9975,3,1.1360425342058288e-05,0.0005756692444973266
47,0.75,0.99375,-3.955,0.9875,3,1.1360425342058288e-05,0.0005756692444973266
48,0.75,0.99125,-3.94,0.9825,3,1.1360425342058288e-05,0.0005756692444973266
49,0.75,0.9875,-3.915,0.9775,3,1.1360425342058288e-05,0.0005756692444973266
50,0.75,0.99,-3.935,0.985,3,1.1360425342058288e-05,0.0005756692444973266
