sweeps,beta,magnetisation,energy,G,seed
0,0.38,1,-4,1,46
1,0.38,0.9225,-3.465,0.8625,46
2,0.38,0.87375,-3.17,0.7875,46
3,0.38,0.8375,-3.07,0.7725,46
4,0.38,0.80625,-2.92,0.73,46
5,0.38,0.7425,-2.655,0.6775,46
6,0.38,0.70625,-2.555,0.6425,46
7,0.38,0.685,-2.535,0.635,46
8,0.38,0.65875,-2.5,0.6325,46
9,0.38,0.6075,-2.365,0.595,46
10,0.38,0.66,-2.475,0.6225,46
11,0.38,0.6025,-2.295,0.5725,46
12,0.38,0.56,-2.295,0.565,46
13,0.38,0.6,-2.395,0.5825,46
14,0.38,0.565,-2.3,0.57,46
15,0.38,0.5625,-2.32,0.6025,46
16,0.38,0.57125,-2.315,0.575,46
17,0.38,0.54,-2.315,0.5925,46
18,0.38,0.53125,-2.225,0.565,46
19,0.38,0.53375,-2.345,0.5875,46
20,0.38,0.4775,-2.295,0.575,46
21,0.38,0.455,-2.17,0.5575,46
22,0.38,0.44375,-2.17,0.55,46
23,0.38,0.45125,-2.235,0.575,46
24,0.38,0.41125,-2.195,0.5425,46
25,0.38,0.405,-2.035,0.5225,46
26,0.38,0.395,-2.005,0.5275,46
27,0.38,0.4475,-2.09,0.54,46
28,0.38,0.39,-2.115,0.525,46
29,0.38,0.43625,-2.23,0.565,46
30,0.38,0.43125,-2.23,0.5475,46
31,0.38,0.42125,-2.22,0.5475,46
32,0.38,0.44125,-2.275,0.5675,46
33,0.38,0.445,-2.265,0.55,46
34,0.38,0.39625,-2.145,0.5425,46
35,0.38,0.42875,-2.25,0.545,46
36,0.38,0.42125,-2.2,0.56,46
37,0.38,0.42375,-2.13,0.5425,46
38,0.38,0.37875,-2.05,0.495,46
39,0.38,0.38,-2.15,0.525,46
40,0.38,0.3975,-2.19,0.555,46
41,0.38,0.375,-2.2,0.5525,46
42,0.38,0.39,-2.14,0.525,46
43,0.38,0.38125,-2.08,0.515,46
44,0.38,0.37875,-2.05,0.5025,46
45,0.38,0.315,-1.995,0.5025,46
46,0.38,0.2225,-1.94,0.485,46
47,0.38,0.23875,-1.935,0.4975,46
48,0.38,0.1925,-1.81,0.45,46
49,0.38,0.22625,-1.835,0.4575,46
50,0.38,0.1975,-1.855,0.4475,46
