sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.85,1.0,-4.0,1.0,41,2.8889054134444124e-06,0.00015800118976799633
1,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
2,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
3,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
4,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
5,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
6,0.85,1.0,-4.0,1.0,41,2.8889054134444124e-06,0.00015800118976799633
7,0.85,1.0,-4.0,1.0,41,2.8889054134444124e-06,0.00015800118976799633
8,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
9,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
10,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
11,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
12,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
13,0.85,1.0,-4.0,1.0,41,2.8889054134444124e-06,0.00015800118976799633
14,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
15,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
16,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
17,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
18,0.85,0.99625,-3.975,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
19,0.85,0.99625,-3.975,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
20,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
21,0.85,0.9975,-3.985,0.995,41,2.8889054134444124e-06,0.00015800118976799633
22,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
23,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
24,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
25,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
26,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
27,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
28,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
29,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
30,0.85,0.995,-3.965,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
31,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
32,0.85,0.995,-3.96,0.99,41,2.8889054134444124e-06,0.00015800118976799633
33,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
34,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
35,0.85,0.995,-3.965,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
36,0.85,0.9925,-3.945,0.9875,41,2.8889054134444124e-06,0.00015800118976799633
37,0.85,0.99375,-3.955,0.99,41,2.8889054134444124e-06,0.00015800118976799633
38,0.85,1.0,-4.0,1.0,41,2.8889054134444124e-06,0.00015800118976799633
39,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
40,0.85,0.99625,-3.975,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
41,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
42,0.85,0.995,-3.96,0.99,41,2.8889054134444124e-06,0.00015800118976799633
43,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
44,0.85,0.99625,-3.97,0.9925,41,2.8889054134444124e-06,0.00015800118976799633
45,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
46,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
47,0.85,0.9975,-3.98,0.995,41,2.8889054134444124e-06,0.00015800118976799633
48,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
49,0.85,0.99875,-3.99,0.9975,41,2.8889054134444124e-06,0.00015800118976799633
50,0.85,1.0,-4.0,1.0,41,2.8889054134444124e-06,0.00015800118976799633
