sweeps,magnetisation,seed
0,0.0025,31
1,-0.03,31
2,-0.0475,31
3,0,31
4,-0.035,31
5,-0.01375,31
6,0.01,31
7,0.045,31
8,0.04125,31
9,0.07375,31
10,0.0525,31
