sweeps,beta,magnetisation,energy,G,seed
0,0.425,1,-4,1,15
1,0.425,0.94,-3.575,0.895,15
2,0.425,0.905,-3.37,0.845,15
3,0.425,0.885,-3.27,0.82,15
4,0.425,0.86375,-3.205,0.8,15
5,0.425,0.85625,-3.185,0.7975,15
6,0.425,0.87125,-3.26,0.815,15
7,0.425,0.85375,-3.19,0.8,15
8,0.425,0.83625,-3.09,0.7675,15
9,0.425,0.81375,-2.975,0.74,15
10,0.425,0.8125,-3.01,0.745,15
11,0.425,0.78875,-2.965,0.7325,15
12,0.425,0.80375,-3.035,0.76,15
13,0.425,0.80875,-3.03,0.7575,15
14,0.425,0.78375,-2.935,0.7225,15
15,0.425,0.7925,-2.95,0.7225,15
16,0.425,0.81125,-3.11,0.7775,15
17,0.425,0.82125,-3.14,0.78,15
18,0.425,0.80625,-3.025,0.7425,15
19,0.425,0.81625,-3.035,0.755,15
20,0.425,0.81125,-2.98,0.7475,15
21,0.425,0.83625,-3.1,0.7725,15
22,0.425,0.82,-3.04,0.75,15
23,0.425,0.82125,-3.085,0.765,15
24,0.425,0.8075,-3,0.7575,15
25,0.425,0.775,-2.855,0.71,15
26,0.425,0.78125,-2.88,0.7175,15
27,0.425,0.7875,-2.965,0.74,15
28,0.425,0.77375,-2.965,0.7375,15
29,0.425,0.78375,-2.99,0.76,15
30,0.425,0.7625,-2.85,0.715,15
31,0.425,0.79125,-3.015,0.7375,15
32,0.425,0.73625,-2.745,0.6875,15
33,0.425,0.76,-2.845,0.7275,15
34,0.425,0.73875,-2.825,0.7125,15
35,0.425,0.73875,-2.82,0.7325,15
36,0.425,0.78625,-2.975,0.73,15
37,0.425,0.79625,-3.03,0.7475,15
38,0.425,0.7875,-3,0.755,15
39,0.425,0.765,-2.895,0.7225,15
40,0.425,0.75625,-2.85,0.7275,15
41,0.425,0.77625,-2.905,0.74,15
42,0.425,0.77375,-2.97,0.7375,15
43,0.425,0.76,-2.905,0.735,15
44,0.425,0.77,-3.005,0.7525,15
45,0.425,0.7825,-2.945,0.735,15
46,0.425,0.75625,-2.925,0.7275,15
47,0.425,0.75375,-2.985,0.745,15
48,0.425,0.7025,-2.805,0.6975,15
49,0.425,0.7025,-2.82,0.705,15
50,0.425,0.71875,-2.835,0.71,15
