sweeps,beta,magnetisation,energy,G,seed
0,0.8,1,-4,1,39
1,0.8,1,-4,1,39
2,0.8,0.99875,-3.99,0.9975,39
3,0.8,0.9975,-3.98,0.995,39
4,0.8,0.99875,-3.99,0.9975,39
5,0.8,0.99625,-3.975,0.995,39
6,0.8,0.9975,-3.98,0.995,39
7,0.8,0.9925,-3.94,0.985,39
8,0.8,0.99375,-3.95,0.9875,39
9,0.8,0.99375,-3.95,0.9875,39
10,0.8,0.99375,-3.95,0.9875,39
11,0.8,0.99625,-3.97,0.9925,39
12,0.8,1,-4,1,39
13,0.8,0.99625,-3.97,0.9925,39
14,0.8,0.995,-3.96,0.99,39
15,0.8,0.995,-3.96,0.99,39
16,0.8,0.99375,-3.955,0.99,39
17,0.8,0.9925,-3.945,0.985,39
18,0.8,0.9925,-3.94,0.985,39
19,0.8,0.9975,-3.98,0.995,39
20,0.8,0.99875,-3.99,0.9975,39
21,0.8,0.995,-3.96,0.99,39
22,0.8,0.99625,-3.97,0.9925,39
23,0.8,0.9875,-3.91,0.975,39
24,0.8,0.98375,-3.89,0.975,39
25,0.8,0.99375,-3.955,0.99,39
26,0.8,0.9975,-3.98,0.995,39
27,0.8,0.9975,-3.98,0.995,39
28,0.8,0.9975,-3.985,0.995,39
29,0.8,0.99625,-3.975,0.9925,39
30,0.8,0.99625,-3.97,0.9925,39
31,0.8,0.99625,-3.97,0.9925,39
32,0.8,0.9975,-3.98,0.995,39
33,0.8,1,-4,1,39
34,0.8,1,-4,1,39
35,0.8,0.9975,-3.98,0.995,39
36,0.8,0.99875,-3.99,0.9975,39
37,0.8,0.9975,-3.98,0.995,39
38,0.8,0.9925,-3.945,0.9875,39
39,0.8,0.99125,-3.93,0.9825,39
40,0.8,0.995,-3.96,0.99,39
41,0.8,0.99625,-3.97,0.9925,39
42,0.8,0.99875,-3.99,0.9975,39
43,0.8,1,-4,1,39
44,0.8,0.9975,-3.98,0.995,39
45,0.8,0.99375,-3.955,0.99,39
46,0.8,0.9975,-3.98,0.995,39
47,0.8,0.99625,-3.975,0.9925,39
48,0.8,0.9925,-3.945,0.9875,39
49,0.8,0.9975,-3.98,0.995,39
50,0.8,1,-4,1,39
