sweeps,beta,magnetisation,energy,G,seed
0,0.41,1,-4,1,33
1,0.41,0.92625,-3.515,0.88,33
2,0.41,0.86125,-3.17,0.795,33
3,0.41,0.8825,-3.3,0.825,33
4,0.41,0.84875,-3.085,0.7825,33
5,0.41,0.8275,-3.055,0.7725,33
6,0.41,0.79875,-2.92,0.7125,33
7,0.41,0.75625,-2.805,0.715,33
8,0.41,0.75,-2.77,0.6925,33
9,0.41,0.74875,-2.78,0.695,33
10,0.41,0.74,-2.75,0.6875,33
11,0.41,0.7375,-2.815,0.7025,33
12,0.41,0.73125,-2.735,0.6925,33
13,0.41,0.71125,-2.71,0.67,33
14,0.41,0.69875,-2.595,0.6375,33
15,0.41,0.6625,-2.545,0.625,33
16,0.41,0.67125,-2.73,0.6825,33
17,0.41,0.6625,-2.68,0.6825,33
18,0.41,0.69625,-2.805,0.705,33
19,0.41,0.69625,-2.74,0.675,33
20,0.41,0.66125,-2.54,0.635,33
21,0.41,0.69,-2.66,0.6725,33
22,0.41,0.71625,-2.72,0.6875,33
23,0.41,0.70375,-2.715,0.6775,33
24,0.41,0.7,-2.665,0.6775,33
25,0.41,0.66375,-2.52,0.645,33
26,0.41,0.65875,-2.62,0.67,33
27,0.41,0.65,-2.575,0.6475,33
28,0.41,0.67875,-2.705,0.6475,33
29,0.41,0.71125,-2.825,0.695,33
30,0.41,0.655,-2.68,0.6775,33
31,0.41,0.66125,-2.575,0.6075,33
32,0.41,0.705,-2.69,0.675,33
33,0.41,0.73125,-2.76,0.69,33
34,0.41,0.71375,-2.74,0.695,33
35,0.41,0.69,-2.7,0.6575,33
36,0.41,0.675,-2.685,0.6575,33
37,0.41,0.68,-2.745,0.6825,33
38,0.41,0.6675,-2.655,0.67,33
39,0.41,0.69,-2.72,0.695,33
40,0.41,0.665,-2.65,0.6575,33
41,0.41,0.68,-2.75,0.685,33
42,0.41,0.625,-2.62,0.6575,33
43,0.41,0.59,-2.485,0.625,33
44,0.41,0.61,-2.515,0.63,33
45,0.41,0.5975,-2.445,0.6175,33
46,0.41,0.61125,-2.555,0.645,33
47,0.41,0.62625,-2.575,0.635,33
48,0.41,0.61875,-2.585,0.64,33
49,0.41,0.615,-2.645,0.6525,33
50,0.41,0.625,-2.56,0.6275,33
