sweeps,magnetisation,seed
0,-1,57
1,-0.76625,57
2,-0.5575,57
3,-0.3925,57
4,-0.31375,57
5,-0.2225,57
6,-0.155,57
7,-0.05375,57
8,-0.0675,57
9,-0.0425,57
10,-0.02,57
