sweeps,magnetisation,seed
0,0.02125,18
1,0.0225,18
2,0.00875,18
3,-0.055,18
4,-0.0675,18
5,-0.0575,18
6,-0.005,18
7,-0.01,18
8,-0.02125,18
9,0.02875,18
10,0.0125,18
