sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
1,0.85,0.9975,-3.985,0.995,48,2.714158239143377e-06,0.00016070791195716845
2,0.85,0.995,-3.96,0.99,48,2.714158239143377e-06,0.00016070791195716845
3,0.85,0.99625,-3.97,0.9925,48,2.714158239143377e-06,0.00016070791195716845
4,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
5,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
6,0.85,0.995,-3.96,0.99,48,2.714158239143377e-06,0.00016070791195716845
7,0.85,0.99625,-3.97,0.9925,48,2.714158239143377e-06,0.00016070791195716845
8,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
9,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
10,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
11,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
12,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
13,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
14,0.85,0.99375,-3.955,0.9875,48,2.714158239143377e-06,0.00016070791195716845
15,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
16,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
17,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
18,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
19,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
20,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
21,0.85,0.99625,-3.975,0.995,48,2.714158239143377e-06,0.00016070791195716845
22,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
23,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
24,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
25,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
26,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
27,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
28,0.85,0.99625,-3.97,0.9925,48,2.714158239143377e-06,0.00016070791195716845
29,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
30,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
31,0.85,0.99625,-3.97,0.9925,48,2.714158239143377e-06,0.00016070791195716845
32,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
33,0.85,0.99625,-3.97,0.9925,48,2.714158239143377e-06,0.00016070791195716845
34,0.85,0.995,-3.96,0.99,48,2.714158239143377e-06,0.00016070791195716845
35,0.85,0.99625,-3.97,0.9925,48,2.714158239143377e-06,0.00016070791195716845
36,0.85,0.99625,-3.975,0.9925,48,2.714158239143377e-06,0.00016070791195716845
37,0.85,0.995,-3.96,0.99,48,2.714158239143377e-06,0.00016070791195716845
38,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
39,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
40,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
41,0.85,0.995,-3.96,0.99,48,2.714158239143377e-06,0.00016070791195716845
42,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
43,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
44,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
45,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
46,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
47,0.85,0.9975,-3.98,0.995,48,2.714158239143377e-06,0.00016070791195716845
48,0.85,0.99875,-3.99,0.9975,48,2.714158239143377e-06,0.00016070791195716845
49,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
50,0.85,1.0,-4.0,1.0,48,2.714158239143377e-06,0.00016070791195716845
