sweeps,beta,magnetisation,energy,G,seed
0,0.425,1,-4,1,37
1,0.425,0.9575,-3.695,0.92,37
2,0.425,0.91875,-3.475,0.865,37
3,0.425,0.87625,-3.295,0.825,37
4,0.425,0.85875,-3.15,0.7875,37
5,0.425,0.81,-2.94,0.735,37
6,0.425,0.815,-3,0.745,37
7,0.425,0.7675,-2.83,0.705,37
8,0.425,0.805,-2.925,0.7375,37
9,0.425,0.78625,-2.865,0.71,37
10,0.425,0.77375,-2.84,0.7175,37
11,0.425,0.75625,-2.89,0.725,37
12,0.425,0.74875,-2.905,0.725,37
13,0.425,0.7525,-2.905,0.7075,37
14,0.425,0.73875,-2.87,0.7075,37
15,0.425,0.77,-2.995,0.735,37
16,0.425,0.74,-2.9,0.71,37
17,0.425,0.78125,-3.005,0.745,37
18,0.425,0.73375,-2.785,0.6875,37
19,0.425,0.73125,-2.805,0.7025,37
20,0.425,0.73,-2.87,0.715,37
21,0.425,0.715,-2.77,0.7,37
22,0.425,0.6725,-2.715,0.69,37
23,0.425,0.6775,-2.745,0.685,37
24,0.425,0.64375,-2.655,0.665,37
25,0.425,0.63625,-2.675,0.68,37
26,0.425,0.62625,-2.71,0.6725,37
27,0.425,0.62875,-2.74,0.6925,37
28,0.425,0.63375,-2.685,0.6875,37
29,0.425,0.61875,-2.61,0.655,37
30,0.425,0.565,-2.48,0.61,37
31,0.425,0.59375,-2.56,0.6325,37
32,0.425,0.5825,-2.605,0.6675,37
33,0.425,0.5725,-2.58,0.64,37
34,0.425,0.6175,-2.67,0.66,37
35,0.425,0.575,-2.585,0.65,37
36,0.425,0.59875,-2.685,0.6825,37
37,0.425,0.5275,-2.465,0.6225,37
38,0.425,0.51875,-2.445,0.6225,37
39,0.425,0.54,-2.6,0.66,37
40,0.425,0.57875,-2.625,0.65,37
41,0.425,0.59625,-2.61,0.66,37
42,0.425,0.635,-2.77,0.705,37
43,0.425,0.6475,-2.845,0.7,37
44,0.425,0.6825,-2.885,0.71,37
45,0.425,0.70125,-2.925,0.73,37
46,0.425,0.6925,-2.835,0.7225,37
47,0.425,0.725,-2.995,0.75,37
48,0.425,0.70625,-2.865,0.7175,37
49,0.425,0.67625,-2.78,0.7,37
50,0.425,0.7025,-2.765,0.6875,37
