sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,0
1,0.25,0.7675,-4080,0
2,0.25,0.60375,-2992,0
3,0.25,0.44875,-2544,0
4,0.25,0.35625,-2256,0
5,0.25,0.24875,-2120,0
6,0.25,0.1975,-1848,0
7,0.25,0.17875,-1760,0
8,0.25,0.1325,-1976,0
9,0.25,0.14,-1816,0
10,0.25,0.14375,-2024,0
11,0.25,0.15125,-2072,0
12,0.25,0.14375,-2056,0
13,0.25,0.11625,-1992,0
14,0.25,0.10125,-1856,0
15,0.25,0.0925,-1944,0
16,0.25,0.06875,-1872,0
17,0.25,0.055,-1840,0
18,0.25,0.04625,-1720,0
19,0.25,0.10125,-1736,0
20,0.25,0.09875,-1752,0
21,0.25,0.065,-1920,0
22,0.25,0.07875,-1768,0
23,0.25,0.08875,-1896,0
24,0.25,-0.00375,-1584,0
25,0.25,0.02625,-1792,0
26,0.25,0.08625,-1856,0
27,0.25,0.0975,-1760,0
28,0.25,0.11,-1656,0
29,0.25,0.06125,-2008,0
30,0.25,0.0825,-1824,0
31,0.25,0.07,-1744,0
32,0.25,0.035,-1688,0
33,0.25,0.04,-1464,0
34,0.25,0.0575,-1776,0
35,0.25,-0.015,-1704,0
36,0.25,-0.00375,-1648,0
37,0.25,0.01875,-1880,0
38,0.25,0.04125,-1744,0
39,0.25,0.07375,-1552,0
40,0.25,0.05875,-1672,0
41,0.25,-0.03,-1736,0
42,0.25,0.02125,-1720,0
43,0.25,0.0775,-1816,0
44,0.25,0.06375,-1864,0
45,0.25,0.005,-1712,0
46,0.25,-0.01,-1784,0
47,0.25,-0.0375,-1848,0
48,0.25,-0.0575,-1760,0
49,0.25,-0.02375,-1600,0
50,0.25,0.0125,-1960,0
51,0.25,-0.035,-2104,0
52,0.25,0.03375,-1896,0
53,0.25,0.0825,-1664,0
54,0.25,-0.00125,-1720,0
55,0.25,0,-1944,0
56,0.25,0.02875,-1776,0
57,0.25,-0.005,-1776,0
58,0.25,-0.00875,-1552,0
59,0.25,-0.0725,-1760,0
60,0.25,-0.02625,-1816,0
61,0.25,-0.04875,-1784,0
62,0.25,0.02875,-1632,0
63,0.25,0.00625,-1840,0
64,0.25,0.03375,-1776,0
65,0.25,-0.01625,-1840,0
66,0.25,-0.0525,-1712,0
67,0.25,-0.02375,-1824,0
68,0.25,0.00125,-2032,0
69,0.25,0.01,-1744,0
70,0.25,0.0675,-1728,0
71,0.25,0.04375,-1896,0
72,0.25,0.06375,-1920,0
73,0.25,0.0425,-1776,0
74,0.25,0.09625,-1704,0
75,0.25,0.0825,-1920,0
76,0.25,0.105,-1664,0
77,0.25,0.1075,-1688,0
78,0.25,0.07125,-1752,0
79,0.25,-0.02625,-1736,0
80,0.25,-0.04125,-1632,0
81,0.25,-0.03,-1592,0
82,0.25,0.0025,-1752,0
83,0.25,0.0825,-1728,0
84,0.25,0.07,-1728,0
85,0.25,0.02375,-1944,0
86,0.25,0.0425,-1840,0
87,0.25,0.06875,-1992,0
88,0.25,0.0675,-2048,0
89,0.25,0.04125,-1936,0
90,0.25,0.01875,-1736,0
91,0.25,0.03875,-2136,0
92,0.25,-0.0125,-2136,0
93,0.25,0.02375,-1568,0
94,0.25,0.01125,-1600,0
95,0.25,-0.0225,-1720,0
96,0.25,-0.04375,-1536,0
97,0.25,-0.0275,-1728,0
98,0.25,-0.07125,-1760,0
99,0.25,-0.02875,-1576,0
100,0.25,-0.02125,-1560,0
