sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.5,1.0,-4.0,1.0,44,0.00031874256395003,0.00651157049375371
1,0.5,0.97125,-3.775,0.9425,44,0.00031874256395003,0.00651157049375371
2,0.5,0.9625,-3.74,0.935,44,0.00031874256395003,0.00651157049375371
3,0.5,0.9375,-3.58,0.895,44,0.00031874256395003,0.00651157049375371
4,0.5,0.93125,-3.535,0.8875,44,0.00031874256395003,0.00651157049375371
5,0.5,0.91875,-3.515,0.88,44,0.00031874256395003,0.00651157049375371
6,0.5,0.89375,-3.375,0.8525,44,0.00031874256395003,0.00651157049375371
7,0.5,0.8975,-3.38,0.85,44,0.00031874256395003,0.00651157049375371
8,0.5,0.91125,-3.425,0.85,44,0.00031874256395003,0.00651157049375371
9,0.5,0.925,-3.52,0.8825,44,0.00031874256395003,0.00651157049375371
10,0.5,0.93375,-3.595,0.8975,44,0.00031874256395003,0.00651157049375371
11,0.5,0.93,-3.55,0.8925,44,0.00031874256395003,0.00651157049375371
12,0.5,0.935,-3.655,0.91,44,0.00031874256395003,0.00651157049375371
13,0.5,0.9225,-3.635,0.9175,44,0.00031874256395003,0.00651157049375371
14,0.5,0.92375,-3.555,0.885,44,0.00031874256395003,0.00651157049375371
15,0.5,0.92875,-3.58,0.895,44,0.00031874256395003,0.00651157049375371
16,0.5,0.9175,-3.53,0.8875,44,0.00031874256395003,0.00651157049375371
17,0.5,0.91125,-3.485,0.8675,44,0.00031874256395003,0.00651157049375371
18,0.5,0.93,-3.56,0.8925,44,0.00031874256395003,0.00651157049375371
19,0.5,0.9425,-3.615,0.9075,44,0.00031874256395003,0.00651157049375371
20,0.5,0.9275,-3.51,0.8775,44,0.00031874256395003,0.00651157049375371
21,0.5,0.9,-3.41,0.8475,44,0.00031874256395003,0.00651157049375371
22,0.5,0.88125,-3.345,0.835,44,0.00031874256395003,0.00651157049375371
23,0.5,0.87125,-3.405,0.85,44,0.00031874256395003,0.00651157049375371
24,0.5,0.89375,-3.475,0.865,44,0.00031874256395003,0.00651157049375371
25,0.5,0.8925,-3.46,0.8725,44,0.00031874256395003,0.00651157049375371
26,0.5,0.89625,-3.475,0.8775,44,0.00031874256395003,0.00651157049375371
27,0.5,0.92125,-3.545,0.8825,44,0.00031874256395003,0.00651157049375371
28,0.5,0.92375,-3.565,0.895,44,0.00031874256395003,0.00651157049375371
29,0.5,0.92125,-3.57,0.89,44,0.00031874256395003,0.00651157049375371
30,0.5,0.9225,-3.57,0.9025,44,0.00031874256395003,0.00651157049375371
31,0.5,0.91125,-3.525,0.8875,44,0.00031874256395003,0.00651157049375371
32,0.5,0.91125,-3.485,0.8725,44,0.00031874256395003,0.00651157049375371
33,0.5,0.91375,-3.525,0.8825,44,0.00031874256395003,0.00651157049375371
34,0.5,0.89875,-3.385,0.8375,44,0.00031874256395003,0.00651157049375371
35,0.5,0.90625,-3.41,0.8525,44,0.00031874256395003,0.00651157049375371
36,0.5,0.91625,-3.48,0.8675,44,0.00031874256395003,0.00651157049375371
37,0.5,0.9275,-3.55,0.885,44,0.00031874256395003,0.00651157049375371
38,0.5,0.91875,-3.515,0.885,44,0.00031874256395003,0.00651157049375371
39,0.5,0.92,-3.53,0.8725,44,0.00031874256395003,0.00651157049375371
40,0.5,0.93625,-3.64,0.91,44,0.00031874256395003,0.00651157049375371
41,0.5,0.9075,-3.455,0.865,44,0.00031874256395003,0.00651157049375371
42,0.5,0.92375,-3.55,0.8925,44,0.00031874256395003,0.00651157049375371
43,0.5,0.93,-3.57,0.89,44,0.00031874256395003,0.00651157049375371
44,0.5,0.95,-3.655,0.915,44,0.00031874256395003,0.00651157049375371
45,0.5,0.9675,-3.76,0.9375,44,0.00031874256395003,0.00651157049375371
46,0.5,0.93875,-3.605,0.9075,44,0.00031874256395003,0.00651157049375371
47,0.5,0.935,-3.58,0.895,44,0.00031874256395003,0.00651157049375371
48,0.5,0.935,-3.605,0.905,44,0.00031874256395003,0.00651157049375371
49,0.5,0.92,-3.515,0.88,44,0.00031874256395003,0.00651157049375371
50,0.5,0.9175,-3.51,0.8725,44,0.00031874256395003,0.00651157049375371
