sweeps,beta,magnetisation,energy,G,seed
0,0.325,1,-4,1,17
1,0.325,0.86375,-3.14,0.77,17
2,0.325,0.79125,-2.855,0.7225,17
3,0.325,0.6825,-2.36,0.6025,17
4,0.325,0.5825,-2.135,0.545,17
5,0.325,0.53625,-1.935,0.4775,17
6,0.325,0.45375,-1.8,0.445,17
7,0.325,0.3775,-1.685,0.43,17
8,0.325,0.36125,-1.645,0.415,17
9,0.325,0.32,-1.625,0.4025,17
10,0.325,0.33,-1.715,0.4225,17
11,0.325,0.31,-1.685,0.415,17
12,0.325,0.30625,-1.725,0.435,17
13,0.325,0.3275,-1.775,0.4325,17
14,0.325,0.26125,-1.73,0.43,17
15,0.325,0.28375,-1.75,0.425,17
16,0.325,0.2675,-1.83,0.47,17
17,0.325,0.25625,-1.77,0.4475,17
18,0.325,0.22625,-1.72,0.465,17
19,0.325,0.155,-1.695,0.4275,17
20,0.325,0.1025,-1.58,0.385,17
21,0.325,0.0825,-1.57,0.3875,17
22,0.325,0.065,-1.64,0.4075,17
23,0.325,0.125,-1.67,0.3825,17
24,0.325,0.12,-1.525,0.38,17
25,0.325,0.12375,-1.63,0.4175,17
26,0.325,0.1125,-1.59,0.3825,17
27,0.325,0.0925,-1.715,0.425,17
28,0.325,0.0425,-1.61,0.3975,17
29,0.325,0.03875,-1.445,0.355,17
30,0.325,-0.01,-1.47,0.3625,17
31,0.325,-0.02,-1.45,0.38,17
32,0.325,-0.04375,-1.605,0.385,17
33,0.325,-0.0375,-1.695,0.3925,17
34,0.325,-0.04,-1.59,0.4125,17
35,0.325,-0.0825,-1.54,0.3975,17
36,0.325,-0.1225,-1.585,0.4225,17
37,0.325,-0.0725,-1.565,0.3825,17
38,0.325,-0.09125,-1.485,0.3775,17
39,0.325,-0.1125,-1.55,0.4075,17
40,0.325,-0.06,-1.46,0.365,17
41,0.325,-0.075,-1.5,0.3875,17
42,0.325,-0.105,-1.535,0.38,17
43,0.325,-0.11375,-1.665,0.44,17
44,0.325,-0.06625,-1.54,0.3975,17
45,0.325,-0.025,-1.45,0.3575,17
46,0.325,-0.05375,-1.605,0.4125,17
47,0.325,0.005,-1.49,0.3575,17
48,0.325,0.0125,-1.465,0.3475,17
49,0.325,0.03125,-1.485,0.355,17
50,0.325,-0.0075,-1.57,0.4175,17
