sweeps,beta,magnetisation,energy,G,seed
0,0,1,-4,1,38
1,0,0.115,-0.075,0.0475,38
2,0,0.005,-0.005,0.0125,38
3,0,-0.0175,-0.055,0.0075,38
4,0,0.0125,0.12,-0.0375,38
5,0,-0.015,-0.03,-0.005,38
6,0,0.005,0.02,0.0025,38
7,0,0,0.055,-0.0025,38
8,0,-0.01,-0.015,0.0275,38
9,0,-0.0075,-0.01,-0.005,38
10,0,-0.0425,-0.04,0.0375,38
11,0,-0.0275,-0.07,0.045,38
12,0,0.0225,0.02,-0.02,38
13,0,0.0025,0.08,-0.0475,38
14,0,0.0225,0.095,-0.0325,38
15,0,-0.03,-0.025,0.01,38
16,0,-0.03,0.13,0.005,38
17,0,0.045,-0.065,-0.015,38
18,0,0.0575,-0.095,0.0325,38
19,0,-0.0075,0.005,-0.005,38
20,0,-0.0425,-0.03,0.01,38
21,0,-0.0275,-0.055,0,38
22,0,-0.015,0.105,-0.045,38
23,0,-0.025,-0.025,0.0125,38
24,0,-0.0225,-0.03,0.06,38
25,0,-0.005,0.14,-0.025,38
26,0,0.01,0.03,0.035,38
27,0,-0.005,0.095,-0.0125,38
28,0,0.025,-0.01,0.015,38
29,0,-0.0525,-0.005,0.0175,38
30,0,-0.005,0.09,-0.035,38
31,0,-0.02,-0.055,0.015,38
32,0,0.015,-0.085,-0.005,38
33,0,-0.04,0.08,-0.0275,38
34,0,0.025,-0.08,0.0175,38
35,0,0.02,-0.1,0.0225,38
36,0,0.005,-0.05,0.0125,38
37,0,0.02,0.015,-0.0075,38
38,0,-0.025,-0.03,0.005,38
39,0,-0.0075,-0.05,0.0175,38
40,0,0.04,-0.165,0.015,38
41,0,0.005,-0.03,0.0025,38
42,0,0.005,0.07,-0.0025,38
43,0,-0.015,-0.085,0.035,38
44,0,-0.05,-0.25,0.1,38
45,0,0.0225,-0.095,0.0375,38
46,0,0.0175,-0.015,-0.0175,38
47,0,0.0025,-0.105,0.0175,38
48,0,-0.0075,0.05,-0.0425,38
49,0,0.0425,-0.07,0.0075,38
50,0,0.0075,0.05,-0.0075,38
