sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,1
1,0.25,0.73,-3984,1
2,0.25,0.5225,-3056,1
3,0.25,0.41125,-2384,1
4,0.25,0.3325,-2112,1
5,0.25,0.28125,-1968,1
6,0.25,0.1875,-1840,1
7,0.25,0.13,-1648,1
8,0.25,0.19125,-1984,1
9,0.25,0.13625,-2008,1
10,0.25,0.10875,-2168,1
11,0.25,0.07375,-1880,1
12,0.25,0.0725,-1824,1
13,0.25,0.01125,-1664,1
14,0.25,0.015,-1800,1
15,0.25,-0.0275,-1640,1
16,0.25,0.02125,-1832,1
17,0.25,0.045,-1872,1
18,0.25,0.0525,-1632,1
19,0.25,0.04,-1608,1
20,0.25,0.09,-1640,1
