sweeps,beta,magnetisation,energy,G,seed
0,0.35,1,-4,1,46
1,0.35,0.92375,-3.505,0.875,46
2,0.35,0.80625,-2.885,0.7225,46
3,0.35,0.74375,-2.645,0.66,46
4,0.35,0.68375,-2.44,0.5975,46
5,0.35,0.645,-2.27,0.57,46
6,0.35,0.59625,-2.19,0.54,46
7,0.35,0.5675,-2.2,0.5375,46
8,0.35,0.56625,-2.365,0.5975,46
9,0.35,0.52375,-2.23,0.555,46
10,0.35,0.43375,-2.155,0.5325,46
11,0.35,0.37125,-1.955,0.49,46
12,0.35,0.34375,-1.78,0.47,46
13,0.35,0.31375,-1.81,0.4375,46
14,0.35,0.30375,-1.825,0.475,46
15,0.35,0.2475,-1.775,0.4325,46
16,0.35,0.16375,-1.665,0.415,46
17,0.35,0.115,-1.62,0.385,46
18,0.35,0.15875,-1.575,0.385,46
19,0.35,0.155,-1.72,0.4025,46
20,0.35,0.1575,-1.79,0.4325,46
21,0.35,0.1175,-1.825,0.4625,46
22,0.35,0.1075,-1.74,0.4475,46
23,0.35,0.03125,-1.885,0.4725,46
24,0.35,0.0075,-1.835,0.4625,46
25,0.35,0.025,-1.745,0.4275,46
26,0.35,0.03625,-1.775,0.4625,46
27,0.35,0.0125,-1.76,0.4325,46
28,0.35,0.00875,-1.645,0.4375,46
29,0.35,0.01125,-1.76,0.425,46
30,0.35,-0.00625,-1.69,0.435,46
31,0.35,-0.06,-1.595,0.42,46
32,0.35,-0.065,-1.575,0.4125,46
33,0.35,-0.0725,-1.655,0.4325,46
34,0.35,-0.01875,-1.83,0.45,46
35,0.35,-0.0325,-1.895,0.4925,46
36,0.35,-0.02125,-1.9,0.455,46
37,0.35,-0.0425,-1.83,0.4575,46
38,0.35,-0.02125,-1.76,0.435,46
39,0.35,-0.0025,-1.755,0.45,46
40,0.35,0.01,-1.71,0.43,46
41,0.35,0.0225,-1.745,0.445,46
42,0.35,0.0275,-1.72,0.4475,46
43,0.35,0.07625,-1.835,0.47,46
44,0.35,0.07625,-1.85,0.4775,46
45,0.35,0.085,-1.74,0.4325,46
46,0.35,0.07875,-1.81,0.4475,46
47,0.35,0.085,-1.6,0.4125,46
48,0.35,0.155,-1.545,0.4,46
49,0.35,0.165,-1.595,0.405,46
50,0.35,0.14625,-1.69,0.44,46
51,0.35,0.115,-1.76,0.4575,46
52,0.35,0.10125,-1.775,0.4525,46
53,0.35,0.10125,-1.885,0.46,46
54,0.35,0.055,-1.79,0.4425,46
55,0.35,0.09,-1.725,0.445,46
56,0.35,0.10375,-1.655,0.3975,46
57,0.35,0.11625,-1.75,0.42,46
58,0.35,0.15625,-1.8,0.445,46
59,0.35,0.15875,-1.775,0.4475,46
60,0.35,0.15375,-1.685,0.3975,46
61,0.35,0.08875,-1.495,0.385,46
62,0.35,0.08,-1.71,0.4225,46
63,0.35,0.12125,-1.7,0.45,46
64,0.35,0.105,-1.76,0.435,46
