sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.5,1,-4,1,0,5
1,0.5,0.97125,-3.81,0.9425,0,5
2,0.5,0.96125,-3.735,0.9225,0,5
3,0.5,0.93875,-3.625,0.8825,0,5
4,0.5,0.905,-3.425,0.8225,0,5
5,0.5,0.8825,-3.34,0.775,0,5
6,0.5,0.88375,-3.3,0.795,0,5
7,0.5,0.895,-3.445,0.8075,0,5
8,0.5,0.88625,-3.42,0.7925,0,5
9,0.5,0.87625,-3.345,0.78,0,5
10,0.5,0.8875,-3.415,0.7875,0,5
11,0.5,0.91625,-3.555,0.8375,0,5
12,0.5,0.9225,-3.545,0.85,0,5
13,0.5,0.9025,-3.485,0.815,0,5
14,0.5,0.92625,-3.54,0.8575,0,5
15,0.5,0.915,-3.49,0.835,0,5
16,0.5,0.94,-3.625,0.8825,0,5
17,0.5,0.92875,-3.555,0.8625,0,5
18,0.5,0.93,-3.585,0.86,0,5
19,0.5,0.93125,-3.555,0.865,0,5
20,0.5,0.915,-3.505,0.8325,0,5
21,0.5,0.92125,-3.555,0.8425,0,5
22,0.5,0.92875,-3.56,0.8625,0,5
23,0.5,0.92125,-3.52,0.855,0,5
24,0.5,0.92,-3.485,0.845,0,5
25,0.5,0.89625,-3.4,0.805,0,5
26,0.5,0.92125,-3.565,0.845,0,5
27,0.5,0.915,-3.51,0.8325,0,5
28,0.5,0.925,-3.525,0.855,0,5
29,0.5,0.91625,-3.435,0.8425,0,5
30,0.5,0.915,-3.475,0.8375,0,5
31,0.5,0.90625,-3.48,0.82,0,5
32,0.5,0.89125,-3.41,0.7875,0,5
33,0.5,0.90875,-3.5,0.83,0,5
34,0.5,0.9475,-3.63,0.9,0,5
35,0.5,0.955,-3.685,0.9125,0,5
36,0.5,0.94,-3.655,0.885,0,5
37,0.5,0.94125,-3.65,0.8825,0,5
38,0.5,0.93625,-3.585,0.875,0,5
39,0.5,0.94125,-3.6,0.89,0,5
40,0.5,0.925,-3.535,0.8625,0,5
41,0.5,0.93375,-3.575,0.8675,0,5
42,0.5,0.9,-3.38,0.8025,0,5
43,0.5,0.92625,-3.525,0.8575,0,5
44,0.5,0.925,-3.485,0.8525,0,5
45,0.5,0.92625,-3.52,0.8575,0,5
46,0.5,0.925,-3.51,0.8575,0,5
47,0.5,0.9325,-3.55,0.865,0,5
48,0.5,0.93375,-3.55,0.8725,0,5
49,0.5,0.93,-3.55,0.8625,0,5
50,0.5,0.94,-3.64,0.8825,0,5
