sweeps,beta,magnetisation,seed
0,0.25,1,4
1,0.25,0.7525,4
2,0.25,0.63375,4
3,0.25,0.4875,4
4,0.25,0.3975,4
5,0.25,0.33375,4
6,0.25,0.21,4
7,0.25,0.155,4
8,0.25,0.1025,4
9,0.25,0.105,4
10,0.25,0.08375,4
11,0.25,0.105,4
12,0.25,0.0825,4
13,0.25,0.10125,4
14,0.25,0.05875,4
15,0.25,0.015,4
16,0.25,0.0025,4
17,0.25,0.0225,4
18,0.25,0.03125,4
19,0.25,0.055,4
20,0.25,0.02375,4
