sweeps,beta,magnetisation,seed
0,0.25,-1,13
1,0.25,-0.75875,13
2,0.25,-0.58,13
3,0.25,-0.39,13
4,0.25,-0.34375,13
5,0.25,-0.28875,13
6,0.25,-0.22375,13
7,0.25,-0.2025,13
8,0.25,-0.16,13
9,0.25,-0.1525,13
10,0.25,-0.14875,13
