sweeps,beta,magnetisation,energyseed
0,0.25,1,17
1,0.25,0.81375,17
2,0.25,0.61,17
3,0.25,0.4325,17
4,0.25,0.3225,17
5,0.25,0.275,17
6,0.25,0.22375,17
7,0.25,0.115,17
8,0.25,0.17375,17
9,0.25,0.07875,17
10,0.25,0.10625,17
11,0.25,0.05875,17
12,0.25,0.01875,17
13,0.25,-0.0325,17
14,0.25,-0.03125,17
15,0.25,0,17
16,0.25,-0.0025,17
17,0.25,0.015,17
18,0.25,-0.0475,17
19,0.25,-0.04125,17
20,0.25,-0.11375,17
