sweeps,beta,magnetisation,seed
0,0.25,1,78
1,0.25,0.7625,78
2,0.25,0.62375,78
3,0.25,0.435,78
4,0.25,0.315,78
5,0.25,0.215,78
6,0.25,0.1525,78
7,0.25,0.1775,78
8,0.25,0.12875,78
9,0.25,0.10625,78
10,0.25,0.1075,78
11,0.25,0.06375,78
12,0.25,0.09,78
13,0.25,0.0925,78
14,0.25,0.07875,78
15,0.25,0.025,78
16,0.25,0.0425,78
17,0.25,0.05,78
18,0.25,0.0275,78
19,0.25,0.02375,78
20,0.25,0.04875,78
