sweeps,beta,magnetisation,energyseed
0,0.25,1,16
1,0.25,0.79875,16
2,0.25,0.605,16
3,0.25,0.47,16
4,0.25,0.38125,16
5,0.25,0.2525,16
6,0.25,0.22,16
7,0.25,0.14125,16
8,0.25,0.09875,16
9,0.25,0.1175,16
10,0.25,0.06625,16
11,0.25,0.06875,16
12,0.25,0.09,16
13,0.25,0.09375,16
14,0.25,0.03625,16
15,0.25,0.04,16
16,0.25,0.02625,16
17,0.25,0.0625,16
18,0.25,0.03375,16
19,0.25,0.01,16
20,0.25,0.01,16
