sweeps,beta,magnetisation,seed
0,0.25,1,94
1,0.25,0.7775,94
2,0.25,0.59375,94
3,0.25,0.44875,94
4,0.25,0.31625,94
5,0.25,0.2825,94
6,0.25,0.23625,94
7,0.25,0.22,94
8,0.25,0.15375,94
9,0.25,0.1125,94
10,0.25,0.05875,94
11,0.25,0.02,94
12,0.25,0.04125,94
13,0.25,0.06,94
14,0.25,0.02625,94
15,0.25,-0.045,94
16,0.25,-0.01,94
17,0.25,0.03125,94
18,0.25,0.06625,94
19,0.25,0.0925,94
20,0.25,0.07375,94
