sweeps,beta,magnetisation,seed
0,0.25,1,52
1,0.25,0.74375,52
2,0.25,0.5,52
3,0.25,0.32875,52
4,0.25,0.22375,52
5,0.25,0.155,52
6,0.25,0.15,52
7,0.25,0.04,52
8,0.25,-0.01875,52
9,0.25,0.0175,52
