sweeps,beta,magnetisation,energyseed
0,0.25,1,11
1,0.25,0.75875,11
2,0.25,0.585,11
3,0.25,0.435,11
4,0.25,0.28375,11
5,0.25,0.2375,11
6,0.25,0.0675,11
7,0.25,0.1175,11
8,0.25,0.0825,11
9,0.25,0.085,11
10,0.25,0.17,11
11,0.25,0.1275,11
12,0.25,0.12,11
13,0.25,0.11375,11
14,0.25,0.095,11
15,0.25,0.09,11
16,0.25,0.08375,11
17,0.25,0.07625,11
18,0.25,0.06,11
19,0.25,0.015,11
20,0.25,0.00875,11
