sweeps,beta,magnetisation,seed
0,0.25,1,91
1,0.25,0.7825,91
2,0.25,0.58625,91
3,0.25,0.475,91
4,0.25,0.34875,91
5,0.25,0.32,91
6,0.25,0.29125,91
7,0.25,0.23375,91
8,0.25,0.18625,91
9,0.25,0.07875,91
10,0.25,0.025,91
11,0.25,0.03375,91
12,0.25,0,91
13,0.25,-0.04875,91
14,0.25,-0.0225,91
15,0.25,0.00125,91
16,0.25,-0.0075,91
17,0.25,-0.055,91
18,0.25,-0.00125,91
19,0.25,0.05375,91
20,0.25,0.085,91
