sweeps,beta,magnetisation,energyseed
0,0.25,1,12
1,0.25,0.77,12
2,0.25,0.6275,12
3,0.25,0.455,12
4,0.25,0.29625,12
5,0.25,0.25125,12
6,0.25,0.21125,12
7,0.25,0.20125,12
8,0.25,0.1225,12
9,0.25,0.08,12
10,0.25,0.085,12
11,0.25,0.085,12
12,0.25,0.11,12
13,0.25,0.09625,12
14,0.25,0.075,12
15,0.25,0.0625,12
16,0.25,0.00625,12
17,0.25,-0.035,12
18,0.25,-0.01875,12
19,0.25,-0.05125,12
20,0.25,-0.05625,12
