sweeps,beta,magnetisation,seed
0,0.25,1,75
1,0.25,0.76875,75
2,0.25,0.555,75
3,0.25,0.42,75
4,0.25,0.3275,75
5,0.25,0.28375,75
6,0.25,0.23875,75
7,0.25,0.185,75
8,0.25,0.1625,75
9,0.25,0.07875,75
10,0.25,0.06125,75
11,0.25,0.01625,75
12,0.25,0.045,75
13,0.25,0.03625,75
14,0.25,0.0175,75
15,0.25,0.02,75
16,0.25,0.11125,75
17,0.25,0.0975,75
18,0.25,0.1,75
19,0.25,0.06,75
20,0.25,0.09875,75
