sweeps,beta,magnetisation,seed
0,0.25,1,82
1,0.25,0.7575,82
2,0.25,0.585,82
3,0.25,0.445,82
4,0.25,0.33,82
5,0.25,0.2525,82
6,0.25,0.20125,82
7,0.25,0.13125,82
8,0.25,0.14,82
9,0.25,0.08875,82
10,0.25,0.0475,82
11,0.25,-0.04125,82
12,0.25,-0.045,82
13,0.25,-0.04,82
14,0.25,0.0175,82
15,0.25,0.045,82
16,0.25,0.025,82
17,0.25,0.0025,82
18,0.25,0.0075,82
19,0.25,-0.00375,82
20,0.25,-0.0175,82
