sweeps,beta,magnetisation,seed
0,0.25,-1,43
1,0.25,-0.74125,43
2,0.25,-0.55125,43
3,0.25,-0.38625,43
4,0.25,-0.285,43
5,0.25,-0.17875,43
6,0.25,-0.16125,43
7,0.25,-0.135,43
8,0.25,-0.08125,43
9,0.25,0.015,43
10,0.25,-0.00875,43
