sweeps,beta,magnetisation,seed
0,0.25,-1,45
1,0.25,-0.76625,45
2,0.25,-0.5375,45
3,0.25,-0.38625,45
4,0.25,-0.32125,45
5,0.25,-0.21125,45
6,0.25,-0.16375,45
7,0.25,-0.15375,45
8,0.25,-0.1675,45
9,0.25,-0.14,45
10,0.25,-0.11875,45
