sweeps,beta,magnetisation,seed
0,0.25,-1,96
1,0.25,-0.73875,96
2,0.25,-0.56,96
3,0.25,-0.37625,96
4,0.25,-0.29,96
5,0.25,-0.22375,96
6,0.25,-0.1725,96
7,0.25,-0.155,96
8,0.25,-0.1325,96
9,0.25,-0.1,96
10,0.25,-0.015,96
