sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,3
1,0.25,0.745,-3920,3
2,0.25,0.5225,-2552,3
3,0.25,0.44625,-2464,3
4,0.25,0.3,-2008,3
5,0.25,0.2375,-1952,3
6,0.25,0.2375,-2072,3
7,0.25,0.1875,-2176,3
8,0.25,0.13375,-1808,3
9,0.25,0.07125,-1800,3
10,0.25,0.04625,-1808,3
11,0.25,0.00625,-1824,3
12,0.25,0.065,-1856,3
13,0.25,0.05125,-1488,3
14,0.25,0.04375,-1696,3
15,0.25,0.0225,-1520,3
16,0.25,-0.05,-1944,3
17,0.25,-0.10625,-1992,3
18,0.25,-0.06125,-1928,3
19,0.25,-0.01,-1744,3
20,0.25,-0.0425,-1560,3
