sweeps,beta,magnetisation,seed
0,0.25,-1,44
1,0.25,-0.785,44
2,0.25,-0.615,44
3,0.25,-0.4575,44
4,0.25,-0.365,44
5,0.25,-0.31875,44
6,0.25,-0.24,44
7,0.25,-0.17125,44
8,0.25,-0.15375,44
9,0.25,-0.15,44
10,0.25,-0.135,44
