sweeps,beta,magnetisation,energyseed
0,0.25,1,18
1,0.25,0.74625,18
2,0.25,0.5575,18
3,0.25,0.42375,18
4,0.25,0.30375,18
5,0.25,0.25125,18
6,0.25,0.26375,18
7,0.25,0.1775,18
8,0.25,0.095,18
9,0.25,0.08375,18
10,0.25,0.0775,18
11,0.25,0.0575,18
12,0.25,0.0225,18
13,0.25,0.01875,18
14,0.25,0.03625,18
15,0.25,0.0625,18
16,0.25,0.04,18
17,0.25,0.0025,18
18,0.25,0.00625,18
19,0.25,0.07625,18
20,0.25,0.09,18
