sweeps,beta,magnetisation,energyseed
0,0.25,1,19
1,0.25,0.7425,19
2,0.25,0.5475,19
3,0.25,0.33375,19
4,0.25,0.20375,19
5,0.25,0.1475,19
6,0.25,0.11,19
7,0.25,0.04375,19
8,0.25,0.05125,19
9,0.25,-0.03375,19
10,0.25,0.01875,19
11,0.25,0.02,19
12,0.25,0.0125,19
13,0.25,-0.005,19
14,0.25,0.03125,19
15,0.25,-0.045,19
16,0.25,-0.0125,19
17,0.25,-0.02,19
18,0.25,0.03,19
19,0.25,0.0375,19
20,0.25,0.09375,19
