sweeps,beta,magnetisation,seed
0,0.25,-1,0
1,0.25,-0.7675,0
2,0.25,-0.60375,0
3,0.25,-0.44875,0
4,0.25,-0.35625,0
5,0.25,-0.24875,0
6,0.25,-0.1975,0
7,0.25,-0.17875,0
8,0.25,-0.1325,0
9,0.25,-0.14,0
10,0.25,-0.14375,0
