sweeps,beta,magnetisation,seed
0,0.25,-1,56
1,0.25,-0.74375,56
2,0.25,-0.5975,56
3,0.25,-0.43875,56
4,0.25,-0.3075,56
5,0.25,-0.28875,56
6,0.25,-0.24,56
7,0.25,-0.205,56
8,0.25,-0.17625,56
9,0.25,-0.1725,56
10,0.25,-0.10875,56
