sweeps,beta,magnetisation,seed
0,0.25,1,46
1,0.25,0.7675,46
2,0.25,0.56125,46
3,0.25,0.41625,46
4,0.25,0.36,46
5,0.25,0.25625,46
6,0.25,0.165,46
7,0.25,0.125,46
8,0.25,0.095,46
9,0.25,0.08875,46
10,0.25,0.04875,46
11,0.25,0.0775,46
12,0.25,0.02,46
13,0.25,-0.00125,46
14,0.25,-0.03,46
15,0.25,-0.03125,46
16,0.25,-0.07125,46
17,0.25,-0.04125,46
18,0.25,-0.0325,46
19,0.25,-0.05375,46
20,0.25,-0.045,46
